293	104	16	25
291	109	27	33
281	107	20	34
272	109	20	28
260	113	20	27
248	117	22	24
231	120	25	25
217	122	26	27
198	119	28	27
181	113	29	28
169	103	29	29
154	91	31	29
144	79	31	32
131	73	32	31
122	69	34	31
113	68	36	31
108	71	34	33
105	74	36	32
111	79	35	32
119	82	36	34
135	87	37	35
151	93	39	37
172	104	37	35
193	117	34	33
214	124	30	33
236	128	24	32
253	128	21	34
268	123	18	34
278	112	17	38
284	102	17	41
286	94	19	33
287	91	19	28
285	87	19	30
282	86	18	29
279	88	17	30
272	92	18	32
260	97	20	33
246	104	22	32
230	112	25	30
211	115	25	29
188	115	29	30
164	110	35	30
144	100	33	34
121	88	38	34
100	75	38	35
89	68	34	35
74	59	35	35
66	57	33	34
61	56	32	34
59	56	34	34
62	61	36	32
71	66	36	35
84	75	35	36
100	86	36	36
114	93	35	40
136	110	34	35
163	118	34	35
187	125	34	33
210	130	33	32
230	129	31	30
251	121	26	32
266	114	22	32
276	104	20	32
284	96	20	29
288	86	20	30
289	79	19	31
290	76	21	28
288	77	22	27
285	80	22	28
281	87	23	30
273	94	25	32
263	105	29	29
246	114	33	30
230	120	33	33
210	123	33	33
189	126	32	32
161	118	31	32
149	109	31	36
131	95	29	38
119	79	28	39
109	65	28	37
102	52	25	36
98	44	24	34
93	40	26	33
94	42	27	32
96	46	29	30
100	56	30	31
105	66	31	31
115	78	31	35
130	90	30	33
150	108	28	33
170	121	31	31
191	131	31	32
213	137	29	31
230	141	29	28
248	140	29	26
265	132	23	29
276	125	21	29
284	118	19	26
290	110	17	28
294	105	16	30
296	102	16	26
296	102	16	27
291	102	17	24
285	104	19	24
278	106	20	27
268	112	22	26
253	116	24	25
238	119	23	25
221	120	23	26
200	117	26	28
179	112	32	27
163	102	31	31
150	89	32	32
137	78	31	32
123	70	31	27
114	67	33	30
109	67	34	32
100	70	34	32
98	74	34	34
100	83	32	35
105	92	34	36
116	103	34	30
135	109	34	33
156	114	34	34
179	121	36	30
201	127	32	27
225	130	25	29
244	132	23	29
262	132	18	29
271	128	16	28
279	118	15	33
284	108	14	37
285	99	15	34
283	94	17	28
280	91	19	26
275	90	18	27
274	94	17	30
269	100	18	31
261	107	19	33
245	117	23	30
228	124	26	29
212	127	27	31
192	124	28	32
164	119	34	30
145	111	35	32
126	103	33	35
109	97	32	35
92	93	33	34
83	88	32	35
75	83	33	31
72	77	35	31
78	73	37	32
85	72	35	32
98	72	34	33
114	75	36	34
128	81	35	35
146	91	35	34
164	104	35	31
185	112	31	31
207	121	25	30
226	125	22	28
244	124	21	24
256	115	19	27
267	106	17	29
274	99	17	31
280	89	17	28
282	84	18	28
285	75	17	27
283	73	17	25
284	78	18	28
283	85	20	25
278	93	23	28
271	100	24	31
257	111	29	30
239	119	35	31
218	125	35	34
189	127	35	34
155	122	36	35
131	114	35	36
112	102	31	39
92	91	28	39
76	79	28	34
66	68	26	31
59	58	25	30
58	52	23	28
60	50	22	29
66	50	21	27
70	55	26	25
80	59	27	25
91	70	29	28
106	80	28	30
126	93	26	33
146	108	26	34
170	128	25	28
192	142	27	26
215	148	24	26
236	154	24	23
256	153	24	21
272	145	22	22
283	136	20	20
292	124	19	20
295	115	18	24
300	109	17	28
303	102	19	38
301	99	30	37
299	94	36	31
294	96	29	25
290	97	25	24
285	101	22	25
274	110	22	22
265	119	26	20
252	127	27	22
235	134	26	24
217	136	25	25
194	135	24	24
174	128	25	24
157	117	25	29
140	106	28	27
127	97	26	29
116	87	25	31
104	83	23	27
98	79	21	30
92	78	23	31
90	79	27	25
93	81	26	29
100	84	30	31
110	90	29	33
126	97	31	34
147	107	29	29
172	118	28	26
194	128	30	26
213	132	27	28
232	139	25	25
251	139	21	23
264	135	19	25
274	130	16	25
280	117	15	26
283	106	14	27
287	98	14	27
284	89	12	23
278	87	12	19
278	87	12	20
275	90	13	18
272	96	14	17
268	102	14	23
265	106	13	27
256	121	15	23
243	130	18	23
230	135	19	26
211	141	19	27
188	144	24	24
160	143	30	24
140	137	33	30
117	129	35	35
100	121	37	35
85	111	37	35
76	98	38	39
71	88	36	37
74	78	34	35
82	69	33	35
93	67	32	36
106	66	32	36
116	73	37	34
132	84	35	36
148	98	35	38
163	117	31	34
185	132	23	32
205	143	18	27
221	150	18	25
232	154	17	23
244	146	14	27
252	141	13	24
257	132	12	22
260	123	11	24
261	114	12	23
260	107	13	23
259	101	14	24
255	98	15	22
253	97	15	18
252	99	13	18
