293	104	16	25
290	110	19	20
282	110	20	21
272	112	21	25
261	113	22	25
248	118	23	24
232	122	25	26
218	123	26	25
198	120	29	28
183	113	28	26
167	102	28	28
153	89	29	32
142	82	29	31
130	73	30	30
120	70	31	31
111	68	32	30
107	71	31	30
106	76	31	31
113	81	30	31
125	86	31	31
140	91	34	32
156	96	32	35
178	106	31	30
198	118	33	32
218	126	28	31
235	132	26	29
252	132	24	29
270	127	19	28
279	120	17	26
284	110	17	29
285	100	19	28
286	92	19	26
286	90	17	26
282	88	17	26
279	90	15	27
270	95	17	25
257	104	19	25
244	110	21	26
226	115	26	27
208	116	29	29
186	116	30	28
162	110	31	27
145	101	32	33
122	89	34	33
102	77	38	37
90	71	35	32
79	66	32	32
67	59	32	31
60	56	33	32
60	55	34	33
65	61	33	31
74	69	34	37
88	79	33	34
98	84	36	37
117	97	36	37
142	111	32	33
163	121	33	32
189	129	32	31
213	133	34	29
234	130	31	28
253	123	29	28
266	116	26	29
276	107	23	26
282	98	22	28
289	89	20	26
289	84	20	26
288	81	21	27
287	80	22	27
285	83	23	26
282	91	23	26
270	101	26	24
259	108	28	26
245	115	32	26
232	120	30	29
212	124	35	33
185	125	34	30
161	121	33	31
148	110	28	33
130	97	26	35
117	84	27	37
108	68	25	33
102	61	24	28
98	53	24	26
96	45	23	28
93	44	25	29
96	51	25	28
99	58	25	28
106	67	26	32
117	80	27	35
133	91	26	37
149	108	29	32
169	120	31	31
191	132	31	33
213	141	31	30
232	142	31	28
247	141	30	23
266	133	25	23
277	128	23	22
284	122	22	21
290	115	19	25
293	110	17	23
295	106	16	23
293	105	18	22
289	106	18	24
284	108	18	18
276	110	19	20
266	113	19	22
252	118	20	23
237	121	23	23
218	121	28	25
198	118	30	28
181	112	29	26
164	103	31	33
147	89	31	33
135	79	30	30
127	70	29	31
115	67	30	29
107	67	30	28
102	71	30	30
97	76	29	33
97	86	30	32
103	95	32	31
121	105	30	33
142	111	29	30
163	115	29	27
185	121	29	27
206	129	27	25
225	134	26	26
242	137	25	27
261	134	20	25
275	131	17	25
280	124	15	24
283	116	16	26
282	106	18	22
281	99	19	22
279	95	19	23
276	94	19	23
271	98	18	24
266	104	17	27
256	112	18	28
247	119	20	29
228	128	26	25
210	129	31	28
186	126	32	29
164	120	35	29
147	114	32	29
127	105	32	31
106	98	34	32
88	93	35	33
76	87	35	34
71	85	29	32
73	80	31	33
80	78	32	31
88	71	32	31
100	75	31	30
113	78	35	31
135	86	33	32
149	93	30	32
168	105	29	28
186	115	28	26
204	124	26	26
224	127	24	23
243	124	22	23
255	119	19	23
268	107	19	23
275	100	18	19
281	91	19	23
286	86	17	24
288	79	15	25
289	77	16	26
288	82	18	24
284	87	21	27
279	93	24	29
268	104	25	29
257	110	28	29
239	120	32	32
218	125	35	32
189	128	36	35
159	123	37	32
132	116	33	33
111	105	31	36
91	94	29	33
75	83	26	35
65	74	23	32
60	65	21	29
60	62	18	24
63	57	20	25
67	55	20	26
74	55	20	24
83	62	22	25
95	71	23	26
111	82	25	30
129	96	21	30
146	110	23	29
163	127	26	27
191	141	27	27
217	152	25	26
236	154	24	25
252	153	27	22
268	146	26	19
281	139	24	18
290	130	21	21
296	122	23	20
302	115	18	21
303	109	17	19
303	102	17	19
300	99	18	21
296	96	20	21
291	98	21	21
284	105	20	17
275	111	22	17
261	119	27	17
252	127	25	20
237	135	24	23
216	138	28	25
195	136	28	27
177	130	27	24
159	117	26	29
143	107	23	29
128	97	22	30
114	89	24	31
103	82	21	30
95	79	22	28
90	78	24	27
90	78	24	26
93	82	26	26
101	88	27	28
114	93	28	30
132	99	25	28
151	107	29	30
169	116	27	28
193	127	24	27
213	135	27	27
232	140	25	24
247	142	24	23
264	138	19	18
274	130	16	21
281	121	15	22
284	112	13	19
285	104	13	19
283	96	14	16
282	90	14	19
280	89	14	18
277	90	14	18
274	99	15	14
269	104	14	15
265	114	13	21
254	121	16	24
242	132	18	22
228	139	19	22
211	143	20	21
186	146	26	22
166	146	28	21
143	137	37	30
123	131	34	32
101	122	33	34
84	111	37	37
72	99	33	40
72	87	32	38
75	81	36	34
85	72	33	34
93	65	33	34
107	67	32	33
121	76	32	33
133	89	31	35
150	102	29	36
167	117	28	33
185	133	25	30
205	142	20	27
220	149	21	29
234	153	20	25
244	148	17	27
251	144	14	23
256	137	14	27
262	128	12	20
262	119	13	20
261	111	13	18
259	104	13	19
257	98	15	17
255	98	15	17
252	97	13	17
249	100	13	18
245	107	14	18
239	116	17	15
231	124	19	19
223	131	20	24
213	138	23	24
201	144	23	22
185	144	28	26
172	142	31	27
158	133	32	35
140	122	32	41
126	111	39	40
112	99	41	40
105	90	39	41
102	84	35	41
105	79	33	38
112	74	38	44
121	79	39	42
135	89	37	37
148	98	35	36
166	107	29	40
184	127	22	36
198	138	20	33
211	148	18	32
218	156	20	25
226	157	18	24
234	153	17	23
237	147	18	20
240	138	17	20
242	127	17	20
243	117	16	22
241	113	16	19
238	110	17	16
235	107	17	16
232	106	17	16
229	108	17	16
227	110	17	20
224	113	17	21
218	115	17	21
211	118	17	20
206	120	16	20
196	121	19	22
186	125	22	21
178	124	23	22
172	117	25	27
166	112	26	29
162	107	28	29
160	101	26	25
163	94	24	23
167	87	22	25
171	87	23	27
176	89	24	31
183	98	24	31
192	106	22	33
200	116	21	31
207	127	21	25
217	135	19	23
224	140	17	23
232	144	16	20
237	147	15	17
242	145	17	18
245	141	15	16
247	136	13	18
246	129	12	17
240	121	15	17
236	115	16	18
230	110	16	18
225	110	18	19
220	110	18	21
214	113	15	20
207	116	15	21
197	129	14	17
185	134	16	21
172	141	20	23
161	142	19	25
150	143	22	26
139	128	20	34
133	116	17	34
129	101	15	37
126	84	18	38
124	69	23	40
125	54	30	41
128	47	32	39
139	48	32	36
150	50	27	39
166	58	27	44
182	72	29	45
199	92	30	45
213	112	28	40
231	130	27	36
245	144	23	32
256	155	23	27
265	157	21	22
273	156	19	21
277	151	18	21
278	145	18	18
278	136	19	20
275	129	20	19
272	123	19	17
269	119	17	17
265	117	16	17
259	119	16	16
252	119	17	17
244	121	16	17
235	123	16	19
225	128	16	20
214	133	15	19
203	132	16	18
191	129	17	21
179	122	18	22
170	118	18	22
162	110	19	24
156	104	20	26
155	97	18	32
156	97	18	33
157	98	19	32
164	98	20	35
173	100	22	32
189	106	23	32
203	110	25	32
219	118	23	31
235	127	22	29
251	136	22	29
267	143	19	25
277	146	18	23
289	138	17	23
290	133	18	21
293	125	18	22
294	115	17	20
295	108	16	19
292	101	14	21
289	98	15	22
283	103	18	21
280	109	20	19
274	113	21	22
266	120	20	25
255	130	21	22
243	136	20	21
230	140	21	22
212	138	26	28
192	134	29	30
175	127	27	31
158	119	28	33
144	110	26	33
129	102	27	33
118	97	30	29
113	90	28	28
112	85	30	28
115	82	33	27
121	84	29	26
131	88	27	25
143	94	29	26
158	107	29	28
177	118	27	28
195	131	24	31
213	144	25	30
233	153	25	28
247	157	24	29
259	155	24	30
269	151	23	23
276	139	23	22
282	125	22	28
285	116	21	28
287	109	22	24
289	106	22	24
290	105	22	23
292	108	21	24
289	112	22	24
284	117	23	26
278	124	22	26
268	132	23	28
255	141	26	27
239	150	25	28
224	153	26	31
199	157	27	28
177	153	29	31
158	141	28	34
139	128	31	37
120	115	34	39
108	100	31	39
102	85	27	42
94	77	30	37
92	68	33	37
92	65	39	36
98	65	40	36
109	70	38	36
126	75	33	39
142	87	31	36
160	99	32	38
182	108	33	36
208	120	30	33
228	129	31	33
240	132	29	31
256	132	28	28
273	123	23	29
282	113	23	26
286	101	23	27
290	93	23	26
290	87	22	24
289	84	22	25
288	83	22	24
288	84	20	25
287	88	19	25
283	94	18	25
276	106	19	26
266	114	23	29
251	128	23	23
234	137	23	24
219	139	23	28
197	141	23	29
179	136	24	29
158	124	22	33
136	111	25	34
123	95	27	36
111	78	26	34
107	66	22	30
105	50	21	31
108	40	22	32
108	38	26	29
111	37	29	28
118	43	31	28
126	55	31	30
141	67	31	35
160	79	30	38
181	95	30	38
202	111	32	36
221	122	30	31
240	130	29	32
255	133	28	28
270	134	23	20
279	128	23	20
285	121	21	24
289	114	19	19
289	106	18	15
287	96	16	16
285	90	14	18
281	86	14	21
277	86	14	19
272	88	17	19
266	93	17	22
259	104	16	22
252	111	16	24
239	122	19	25
227	131	19	24
210	137	20	26
192	142	26	26
175	142	29	25
156	137	33	27
135	129	35	35
120	119	34	39
104	106	37	41
95	98	39	41
92	89	41	41
95	81	43	41
105	74	40	44
121	76	36	41
141	76	34	47
163	84	31	42
183	99	30	38
199	114	32	39
222	126	24	33
235	139	21	30
248	142	18	28
257	140	17	27
266	131	19	24
267	124	18	24
268	116	17	25
270	106	17	22
265	98	18	20
260	89	19	22
256	84	18	22
250	82	19	19
245	81	19	19
239	85	19	19
231	89	20	19
223	97	22	21
217	106	21	22
210	114	21	29
200	123	22	25
186	130	23	28
174	135	26	28
161	138	29	29
151	132	29	31
144	119	30	36
136	105	33	37
132	92	36	38
130	84	37	35
130	80	39	29
132	76	41	27
140	78	42	28
146	81	41	33
161	84	43	40
176	88	41	40
194	98	39	40
208	110	36	36
220	122	33	33
228	134	33	33
241	140	28	33
246	147	26	30
247	147	25	28
246	141	24	28
239	130	24	27
235	117	24	26
226	108	25	27
219	96	23	24
210	91	23	25
199	90	24	25
191	93	24	26
181	100	23	26
175	105	21	25
169	111	21	23
164	115	22	26
162	119	19	26
161	119	20	28
164	120	21	28
169	121	25	26
179	122	25	25
194	119	25	27
209	116	25	28
222	117	25	27
242	120	26	26
265	125	22	25
287	129	23	26
304	134	20	25
320	136	22	28
330	138	15	21
336	130	10	29
336	120	10	28
334	116	11	26
327	111	18	22
321	107	20	20
311	106	23	21
300	106	22	19
288	112	21	20
277	116	20	23
265	123	16	22
246	135	18	22
226	141	21	21
207	142	24	24
187	139	19	20
168	133	17	21
150	122	16	27
129	114	18	27
114	108	19	29
95	100	22	29
80	98	24	29
73	93	26	30
68	86	27	33
69	82	28	35
77	81	35	34
92	82	37	33
110	84	37	41
131	92	36	42
160	100	36	43
192	116	39	44
218	133	35	39
244	144	26	33
264	151	22	31
274	149	20	26
286	143	16	29
290	131	15	32
287	121	17	29
281	113	22	23
276	108	23	20
272	102	24	18
265	102	25	18
258	103	25	20
251	106	26	21
243	110	24	24
233	114	23	26
220	120	23	24
202	123	26	27
182	123	28	25
160	122	28	30
143	120	26	30
124	118	28	32
103	111	29	34
92	104	27	40
81	94	22	40
77	90	26	39
74	79	38	36
83	68	40	37
96	64	36	35
113	64	33	37
132	68	32	40
150	77	35	44
172	90	37	48
195	110	36	43
214	126	35	44
231	141	35	36
246	145	31	32
257	147	28	28
265	141	25	25
272	132	20	24
273	125	18	22
272	116	15	18
269	104	15	18
266	96	14	18
262	89	14	21
256	87	14	21
249	91	13	17
241	96	14	17
234	103	15	21
226	111	16	22
216	122	19	23
203	136	20	23
190	144	20	25
177	147	21	26
161	146	26	31
142	138	29	36
124	127	32	38
105	112	36	41
91	100	39	36
81	83	42	33
77	66	42	31
77	52	46	30
82	40	51	31
96	37	48	33
110	41	51	39
130	46	45	44
150	65	47	44
172	85	47	47
194	103	43	48
218	121	36	47
231	137	33	37
247	143	30	33
256	143	26	29
267	137	21	26
272	128	18	25
274	117	16	25
273	109	16	22
270	101	17	20
267	93	18	21
265	88	16	23
261	88	15	20
256	88	15	17
252	90	14	19
244	98	16	17
237	105	16	16
228	110	17	17
218	115	19	17
209	117	20	21
203	119	19	22
189	122	21	22
176	120	25	27
166	116	28	30
155	110	31	34
145	104	35	38
139	98	37	38
133	94	41	35
128	91	45	38
128	92	46	37
132	92	45	42
142	92	42	45
159	89	43	46
179	86	39	43
197	87	37	41
217	89	28	40
233	99	25	37
244	109	20	30
258	119	17	27
266	121	17	28
270	123	18	24
272	117	17	26
272	109	18	24
268	98	22	21
264	88	23	23
260	83	24	23
256	79	23	20
252	81	23	19
249	86	22	21
245	93	23	22
239	103	24	22
235	109	24	27
226	120	25	26
209	131	29	28
192	140	31	25
174	144	27	28
150	143	33	31
128	137	39	34
107	130	37	35
79	112	44	46
60	95	43	49
45	80	39	49
37	61	35	45
32	43	36	41
31	25	43	45
35	11	49	48
43	11	50	48
56	17	50	50
72	31	44	54
95	49	33	60
123	73	27	59
149	100	27	52
171	125	31	48
197	146	25	40
216	152	27	36
233	153	25	30
243	148	25	30
253	140	25	25
261	133	22	21
265	123	24	20
266	112	23	18
266	103	21	19
265	94	22	21
262	88	23	23
259	87	22	20
256	88	22	19
253	92	20	17
246	98	20	16
240	108	21	16
232	113	20	20
221	118	23	23
212	122	23	24
196	126	25	25
181	130	25	24
163	129	24	24
148	124	28	29
135	115	28	31
124	105	29	33
111	97	31	33
104	90	31	31
98	86	33	30
96	84	33	32
100	81	33	37
106	86	32	37
112	94	37	37
126	102	36	36
146	116	37	32
168	129	35	31
192	138	34	31
221	147	28	34
243	153	26	32
266	155	23	32
286	157	20	29
297	155	20	27
313	148	20	27
324	142	21	28
329	136	16	25
333	130	12	25
334	131	11	24
333	129	12	23
332	128	13	23
329	124	16	26
325	126	20	24
316	132	20	25
298	137	24	26
284	144	24	28
266	152	25	30
245	163	24	27
218	169	28	28
193	174	26	25
169	173	31	27
143	167	28	25
121	155	24	31
96	144	24	30
80	132	21	26
68	125	26	31
57	118	24	27
47	114	22	27
42	110	20	27
42	110	19	28
45	113	20	29
53	117	23	32
64	126	28	32
80	134	26	33
97	146	29	35
127	162	29	33
153	173	34	39
180	180	30	31
206	180	30	29
230	174	26	31
244	165	24	31
264	153	19	29
275	139	16	29
280	126	16	29
284	116	16	30
287	103	16	27
282	97	18	26
279	94	20	24
275	94	22	22
269	98	25	21
261	102	25	20
253	107	25	22
244	112	24	24
233	118	23	25
216	125	25	25
196	130	28	24
171	128	29	25
148	121	30	32
131	107	30	32
112	93	30	36
91	78	34	34
79	63	32	39
68	52	29	36
60	43	26	34
52	37	27	34
45	34	28	34
45	39	30	34
48	46	30	34
55	56	29	33
65	70	28	37
80	84	27	41
102	103	25	40
128	121	28	39
153	137	30	35
177	150	32	37
203	160	30	32
226	163	29	29
242	155	29	29
254	145	26	28
262	132	27	24
265	118	26	25
269	105	24	16
270	91	21	20
270	81	21	23
268	74	21	25
266	72	20	24
265	73	19	24
261	79	17	23
257	84	15	25
251	93	15	27
240	103	17	28
226	115	20	26
212	121	21	29
190	129	23	26
167	129	29	23
146	123	30	28
127	113	28	32
104	99	31	32
88	84	34	34
77	68	38	35
68	55	34	32
62	44	32	31
57	39	31	31
58	39	32	30
64	39	32	32
72	44	35	32
84	52	35	32
99	64	35	33
121	77	31	37
146	92	29	37
171	104	26	39
197	115	26	41
220	119	26	35
241	118	24	35
259	113	27	31
268	105	28	28
277	93	27	26
280	82	28	28
283	73	25	31
284	71	25	27
282	70	26	25
279	70	27	26
277	73	27	29
273	78	27	30
264	88	26	31
255	98	26	33
242	110	27	28
223	122	29	29
199	129	34	30
169	131	37	31
145	124	32	34
123	111	33	37
97	95	33	36
78	78	36	41
67	62	30	44
56	49	28	38
48	40	27	34
38	33	28	30
34	31	30	31
36	33	30	31
42	38	30	31
53	47	28	32
64	55	28	36
80	69	26	41
101	86	23	35
123	104	25	35
151	119	23	33
179	129	27	34
206	134	29	31
226	130	27	30
245	122	23	24
256	114	25	23
266	104	26	20
269	93	28	18
272	83	27	13
272	75	27	22
272	71	26	19
268	69	28	20
267	73	27	23
260	83	28	24
254	90	29	21
247	100	28	24
235	108	27	25
220	114	30	28
206	118	28	29
180	117	30	28
160	111	27	33
140	98	24	35
123	87	23	32
104	75	25	31
92	64	24	31
79	55	24	30
72	50	22	31
65	50	25	29
60	53	26	29
60	59	26	31
64	65	31	44
73	72	32	39
88	85	34	35
104	102	34	39
130	115	31	37
153	132	34	32
178	143	33	30
203	147	31	30
225	144	30	33
241	139	26	30
255	129	23	32
266	116	18	32
273	107	17	27
277	97	16	29
279	89	16	28
278	83	16	33
276	84	16	29
274	87	17	28
269	91	18	29
262	100	18	29
251	109	17	26
240	116	18	26
221	122	22	28
201	126	22	29
175	123	25	29
151	117	30	30
128	103	31	32
106	88	33	34
92	75	32	31
80	61	32	29
73	50	30	27
68	39	30	26
63	34	31	26
65	31	31	29
70	29	32	31
81	35	32	30
95	43	31	31
111	52	32	32
131	64	33	32
155	83	31	31
182	98	24	30
208	108	23	40
232	118	21	34
250	118	19	31
267	114	18	31
280	106	19	30
287	95	20	26
292	86	21	24
294	79	20	23
294	73	21	24
291	69	22	24
290	70	23	20
287	70	23	22
284	75	23	19
277	84	25	22
269	94	26	23
262	106	24	27
249	118	23	29
230	127	25	32
206	133	27	30
183	131	27	34
157	126	25	31
135	115	28	31
115	99	25	33
91	85	29	34
74	74	30	33
63	63	28	25
57	52	27	21
52	44	28	20
51	41	30	20
57	40	31	22
63	46	30	24
74	55	31	25
86	68	30	28
100	85	29	31
119	102	30	36
137	122	30	38
166	141	26	35
187	154	27	34
209	157	26	34
229	148	25	34
245	137	24	33
257	123	25	32
265	112	24	28
272	104	25	23
278	95	23	27
280	91	23	27
280	89	23	25
280	89	22	25
277	91	23	24
271	92	24	23
264	100	25	22
257	105	22	25
248	113	20	27
234	122	20	30
216	130	21	30
