208	124	38	21
234	122	31	25
249	119	30	26
263	114	28	29
275	107	26	30
283	100	23	31
288	96	25	35
290	92	23	34
290	88	23	34
288	92	23	34
284	96	25	34
276	103	29	34
267	112	31	30
254	120	33	29
237	126	37	28
218	130	37	24
199	133	40	20
181	133	43	19
164	126	40	18
152	117	37	18
139	107	36	20
131	99	35	21
129	97	34	22
128	93	33	23
129	92	32	22
131	92	34	25
140	98	33	23
149	104	36	21
161	112	38	18
179	121	37	17
197	127	36	17
217	130	37	18
234	131	34	19
251	127	34	24
269	120	29	28
281	112	27	31
292	104	24	33
300	94	23	36
300	87	24	37
301	88	23	34
298	84	23	36
292	90	25	34
286	97	25	35
276	104	27	34
261	115	29	30
243	123	33	29
221	129	38	23
197	131	39	19
175	131	39	18
156	122	35	18
139	113	34	20
123	102	29	20
115	95	31	22
112	90	32	25
108	85	31	25
108	83	30	23
108	84	32	26
111	87	33	25
119	96	33	24
126	104	38	22
139	112	41	19
157	121	41	17
178	127	41	19
200	128	39	22
223	126	35	25
241	123	34	28
258	116	28	33
268	107	26	35
275	97	25	39
277	93	24	38
277	89	21	37
272	86	21	39
266	90	23	36
256	96	26	34
246	103	31	34
230	112	33	32
212	118	34	29
187	121	37	26
160	122	42	23
143	120	42	18
123	112	42	19
104	103	41	21
91	94	37	22
82	85	36	24
79	78	33	25
77	76	33	27
76	75	32	23
78	75	34	28
86	80	32	27
93	86	34	26
102	95	42	25
117	106	44	19
141	117	42	18
161	125	42	19
186	124	39	23
209	118	38	28
229	112	33	33
245	101	29	37
259	91	27	37
266	82	24	38
268	75	23	38
268	71	24	37
265	70	23	39
260	77	23	35
253	82	25	39
244	93	27	38
231	104	31	38
211	120	35	32
186	131	39	27
163	137	42	23
137	138	41	18
119	132	39	19
101	121	33	20
86	112	33	20
76	98	29	24
70	87	28	27
66	82	31	26
68	77	29	27
70	76	30	28
76	79	32	28
82	85	36	26
94	93	40	23
107	100	44	21
130	109	44	17
155	114	43	20
177	116	41	23
201	113	37	28
224	106	31	33
241	99	26	35
250	91	25	35
256	82	24	37
257	77	22	37
259	74	20	38
254	77	21	36
247	84	24	36
238	92	26	37
226	104	27	34
209	113	32	32
185	124	32	27
160	131	34	25
134	130	36	22
112	124	38	22
92	109	38	22
78	99	38	19
66	84	36	22
59	74	35	22
56	64	33	26
57	59	29	26
59	53	28	28
62	52	28	29
70	57	27	28
74	65	31	32
83	74	38	31
96	89	43	27
115	108	48	21
144	123	44	21
171	133	44	26
198	139	40	28
223	138	37	30
244	132	31	35
261	123	28	37
271	118	27	37
279	111	23	38
279	108	26	38
280	107	23	34
276	110	22	33
268	114	25	31
261	123	27	28
248	132	28	21
230	136	29	20
213	134	24	18
196	129	23	18
176	119	22	18
161	107	20	18
145	94	21	19
131	80	24	22
126	73	23	23
119	65	24	25
120	60	24	27
122	57	23	29
125	56	23	34
132	61	23	34
139	70	24	35
152	81	24	34
167	95	29	31
190	106	29	27
212	110	27	25
233	113	25	22
251	107	27	23
262	102	26	21
271	95	24	24
274	88	24	26
275	82	24	25
270	81	24	23
263	80	26	27
255	82	27	27
240	91	31	25
226	100	38	24
208	108	41	21
191	116	40	19
170	121	37	20
149	113	34	27
130	103	31	30
115	95	29	30
101	86	28	30
93	80	23	30
88	75	22	31
85	70	20	32
86	68	18	31
88	68	22	34
95	76	20	31
106	86	21	27
120	98	20	23
137	106	20	21
160	113	22	21
184	119	22	21
206	120	22	21
224	119	23	23
241	111	22	23
254	103	22	23
261	95	22	23
265	86	20	25
266	82	20	26
263	80	20	29
258	81	18	32
253	86	20	33
243	96	21	33
231	110	23	29
215	118	25	30
193	128	28	24
169	131	32	21
150	126	31	19
132	117	30	18
112	106	25	19
100	97	28	20
89	91	29	21
86	88	33	23
83	83	30	25
83	81	31	26
87	81	29	25
92	83	29	27
101	90	32	26
113	101	33	20
129	111	37	18
151	118	35	18
174	123	33	22
195	125	33	22
215	123	32	24
234	116	30	27
248	107	30	30
262	91	26	35
270	81	22	38
274	73	19	37
274	68	20	36
272	67	20	36
270	70	19	33
265	76	22	34
254	87	26	33
244	99	28	32
228	112	30	28
207	120	34	25
186	126	30	23
159	124	30	19
137	117	28	19
118	105	23	17
105	91	22	18
96	84	23	20
90	73	21	21
89	68	22	23
89	61	22	23
96	58	22	23
100	58	24	25
109	64	27	27
120	73	29	26
131	85	33	27
146	99	40	23
171	114	42	20
198	127	40	20
224	132	35	25
249	130	28	29
268	123	24	31
282	110	18	33
288	101	16	32
290	92	16	35
287	86	18	32
282	82	18	27
277	83	19	26
273	88	18	25
265	94	21	25
251	103	24	22
235	114	23	20
217	118	24	20
196	118	22	21
176	116	23	21
157	108	24	21
139	98	26	23
124	88	24	24
112	77	24	27
106	69	22	31
102	63	21	33
103	60	21	36
104	58	20	37
109	62	22	38
113	70	24	36
123	81	25	33
138	96	28	28
160	112	26	22
186	120	21	19
212	120	22	18
230	118	26	20
248	111	25	23
259	103	26	26
267	91	25	29
273	80	24	32
276	72	23	32
276	64	22	35
276	63	20	33
270	66	21	35
268	73	23	35
264	85	22	35
252	98	25	34
236	110	29	30
213	119	35	25
186	124	39	20
162	120	32	20
141	110	27	20
123	101	28	19
107	90	25	19
95	83	29	20
91	76	29	21
90	73	30	23
90	72	29	22
91	70	29	26
98	75	29	25
105	80	29	23
114	93	31	21
127	106	34	17
150	119	29	17
173	126	30	20
194	127	30	21
218	124	29	24
238	117	29	26
255	105	27	29
269	93	22	32
276	81	20	34
281	71	18	36
283	65	19	37
283	59	17	36
278	60	19	34
275	65	19	35
268	75	22	36
256	85	26	36
240	100	33	33
222	111	34	27
199	119	34	26
174	121	34	22
149	117	28	20
131	110	25	17
114	100	22	16
105	93	18	17
