threshold,precision
0,0.0002945797329143755
1,0.013157894736842105
2,0.055970149253731345
3,0.12450903377847604
4,0.20846425765907306
5,0.29978397486252945
6,0.38108798114689707
7,0.46504320502749413
8,0.5370188531029065
9,0.6055577376276512
10,0.665553809897879
11,0.7140612725844462
12,0.7552042419481539
13,0.795267085624509
14,0.828750981932443
15,0.8601728201099764
16,0.8818735271013354
17,0.9007266300078555
18,0.9120188531029065
19,0.9200706991358995
20,0.9262568735271013
21,0.9291044776119403
22,0.9318538884524745
23,0.9329340141398271
24,0.9342105263157895
25,0.9351924587588374
26,0.9360761979575806
27,0.9367635506677141
28,0.9378436763550668
29,0.9384328358208955
30,0.9388256087981147
31,0.9396111547525531
32,0.9400039277297721
33,0.9404948939512962
34,0.940593087195601
35,0.9408876669285153
36,0.9410840534171249
37,0.9411822466614297
38,0.9413786331500392
39,0.9415750196386489
40,0.9417714061272584
41,0.9418695993715632
42,0.9420659858601729
43,0.9425569520816968
44,0.9428515318146111
45,0.9429497250589159
46,0.9432443047918303
47,0.9433424980361351
48,0.94344069128044
49,0.9436370777690495
50,0.9440298507462687
