threshold,precision
0,0.00019638648860958367
1,0.012666928515318147
2,0.05302435192458759
3,0.12038491751767479
4,0.19982325216025137
5,0.2936959937156324
6,0.3836410054988217
7,0.46131186174391203
8,0.5353495679497251
9,0.5978004713275726
10,0.6541633935585232
11,0.7054202670856246
12,0.7508837391987431
13,0.7896700706991359
14,0.824528672427337
15,0.8545758051846033
16,0.8761783189316575
17,0.8926747839748626
18,0.904752553024352
19,0.9127062058130401
20,0.9186959937156324
21,0.923114689709348
22,0.925471327572663
23,0.9270424194815396
24,0.9286135113904164
25,0.9293990573448547
26,0.9304791830322073
27,0.9313629222309505
28,0.9318538884524745
29,0.9327376276512176
30,0.9332285938727416
31,0.9334249803613511
32,0.9340141398271798
33,0.9346032992930087
34,0.9347996857816182
35,0.9349960722702279
36,0.9354870384917517
37,0.9355852317360566
38,0.9356834249803614
39,0.9358798114689709
40,0.9359780047132757
41,0.9360761979575806
42,0.9362725844461901
43,0.9365671641791045
44,0.9366653574234093
45,0.9369599371563236
46,0.9369599371563236
47,0.9370581304006285
48,0.937254516889238
49,0.9374509033778476
50,0.9381382560879812
