threshold,precision
0,0.0002945797329143755
1,0.008444619010212097
2,0.03682246661429694
3,0.08621366849960722
4,0.14807541241162608
5,0.21582875098193244
6,0.28417124901806756
7,0.34937156323644936
8,0.40789473684210525
9,0.458955223880597
10,0.5071681068342498
11,0.5489984289080911
12,0.5885703063629222
13,0.62971327572663
14,0.6624116260801257
15,0.6902985074626866
16,0.7192655145326001
17,0.7384131971720346
18,0.7514728986645719
19,0.7631578947368421
20,0.7713079340141398
21,0.7772977219167321
22,0.7813236449332286
23,0.7852513747054203
24,0.7880989787902593
25,0.7908483896307934
26,0.7930086410054988
27,0.7949725058915946
28,0.7969363707776905
29,0.7988020424194815
30,0.7997839748625295
31,0.8014532600157109
32,0.8026315789473685
33,0.8037117046347211
34,0.8043990573448547
35,0.8049882168106834
36,0.8055773762765122
37,0.8064611154752553
38,0.8070502749410841
39,0.8081304006284368
40,0.8097014925373134
41,0.8110761979575806
42,0.8117635506677141
43,0.8129418695993715
44,0.8140219952867243
45,0.8152985074626866
46,0.8162804399057345
47,0.8177533385703064
48,0.8189316575019638
49,0.819815396700707
50,0.8204045561665357
