threshold,precision
0,0.0005193673770272081
1,0.019601930036188178
2,0.07128736094357324
3,0.14770138051199572
4,0.2319896796676049
5,0.3253250234553009
6,0.40968033775633295
7,0.4890597775097172
8,0.5585879908859402
9,0.6198230800160837
10,0.6739043023723361
11,0.7190725103873475
12,0.7568020372604208
13,0.788516954831792
14,0.8135303578608766
15,0.8343720680873877
16,0.8496682750301568
17,0.8615132019836483
18,0.8703424473931108
19,0.8781664656212304
20,0.8841308135638655
21,0.8893077335477818
22,0.8939987937273823
23,0.8975338426484385
24,0.9005662779788232
25,0.9033809140865836
26,0.9058102131081625
27,0.9079546977616941
28,0.9095630612518429
29,0.9112049323147031
30,0.9125284814368048
31,0.9137012464817049
32,0.9147064736630478
33,0.9158289773488808
34,0.917001742393781
35,0.9178059241388554
36,0.9183755528749498
37,0.9193137649108698
38,0.9200174239378099
39,0.9207043291783943
40,0.9214247419916901
41,0.9219441093687173
42,0.9226310146093017
43,0.9230163516954831
44,0.9234351963543761
45,0.9240048250904704
46,0.9245409462538534
47,0.9250770674172363
48,0.9255629272215521
49,0.9259315105213778
50,0.9264508778984051
