threshold,precision
0,0.0006031363088057901
1,0.018228119555019434
2,0.06394920251976947
3,0.13218737434660233
4,0.2049490684894786
5,0.28039136844926954
6,0.34901487736228387
7,0.418241522584104
8,0.4797614260822946
9,0.5346133226109101
10,0.5822945985792789
11,0.6200073716659965
12,0.6544364026269937
13,0.6849785551534647
14,0.7106453558504222
15,0.7333467363624179
16,0.7512230264039673
17,0.765832328106152
18,0.777526470982442
19,0.7870928829915561
20,0.7955200375284814
21,0.8021545369253451
22,0.8081859000134031
23,0.8137146495107894
24,0.8173837287226914
25,0.8212873609435732
26,0.8245040879238708
27,0.827151186168074
28,0.8301501139257472
29,0.832227583433856
30,0.834355314301032
31,0.8361982308001609
32,0.8379741321538667
33,0.8395489880713041
34,0.84109033641603
35,0.8424641468971987
36,0.8439552338828575
37,0.8452955367913149
38,0.8465185631952822
39,0.8475740517356922
40,0.8485792789170352
41,0.8497855515346469
42,0.8508075325023455
43,0.8517624983246214
44,0.8527342179332529
45,0.853789706473663
46,0.8546106420050932
47,0.8554315775365232
48,0.8563697895724434
49,0.8573080016083635
50,0.8582294598579279
