sequence,frames,auc,pr20,mean_iou,mean_center_error,failure_rate_iou_010,category_tags
giraffe222,2390,0.32274742118563315,0.6669456066945607,0.31957346981231577,64.09748005461073,0.29497907949790797,all;large_or_deformable_object
giraffe_motion,1500,0.34052145214521456,0.614,0.33718755796604616,55.78661408136833,0.3433333333333333,all;fast_motion;large_or_deformable_object
cup222,2010,0.3617605044086498,0.6412935323383084,0.358861273376197,37.279660472952166,0.32786069651741295,all;small_rigid_object
fighter_mul,2000,0.387930693069307,0.679,0.3853110215194657,37.56866359555752,0.3125,all;similar_or_multiple_objects
dove_mul,1930,0.4563484327707381,0.7259067357512954,0.45479799488977113,32.8282941409864,0.23626943005181347,all;similar_or_multiple_objects
star_mul222,2036,0.4687846486023848,0.7023575638506876,0.4670986856565751,37.70918232495953,0.28094302554027506,all;similar_or_multiple_objects
ship_motion,2301,0.5262154637888822,0.9817470664928292,0.5264546457516354,7.139124760124214,0.007388092133854845,all;fast_motion
elephant222,2290,0.5340049288771672,0.8344978165938864,0.5336859600429188,25.09687344067065,0.1541484716157205,all;large_or_deformable_object
giraffe_low,2267,0.5547524315731087,0.9501543890604323,0.5552554808441394,21809.23050216479,0.015438906043228937,all;low_event_density;large_or_deformable_object
airplane_mul222,2051,0.5657660354041255,0.9361287176986836,0.5661550505437536,10.470181133900018,0.05899561189663579,all;similar_or_multiple_objects
tower333,2401,0.5684718825901749,0.9954185755935027,0.569102063705513,7.822725221238857,0.00041649312786339027,all;large_or_deformable_object
bike222,1899,0.5724690952507573,0.9268035808320169,0.5729606749399302,15.743067778565672,0.05423907319641917,all
star_mul,2160,0.5899202420242025,0.9976851851851852,0.59080139541496,5.660949778678555,0.000925925925925926,all;similar_or_multiple_objects
truck_hdr,1969,0.5999225620886109,0.9959370238699847,0.6009232445904091,7.529163786488926,0.0030472320975114273,all;high_dynamic_range
star_motion,2122,0.6000877184796708,0.9886899151743638,0.6011514787027157,6.374351718991047,0.014608859566446749,all;fast_motion
bike_low,1290,0.6045283598127253,0.9883720930232558,0.6055184433802704,13.15590178603474,0.0,all;low_event_density
bottle_mul222,1101,0.6138613861386139,0.8764759309718437,0.6150360271340997,10.667268710570497,0.019981834695731154,all;similar_or_multiple_objects;small_rigid_object
whale_mul222,2171,0.6333030815748549,0.930907415937356,0.6345280131652308,12.139022364540466,0.02349147858129894,all;similar_or_multiple_objects;large_or_deformable_object
bike333,2001,0.6363402457187247,0.9895052473763118,0.6376811533022333,5.8568633755626385,0.0014992503748125937,all
ship,967,0.6488066593629374,1.0,0.6503655502580966,5.727007686582448,0.0,all
box_hdr,1948,0.6685912944477199,0.9589322381930184,0.670301016531207,8.270483838828802,0.004106776180698152,all;high_dynamic_range;small_rigid_object
star,1156,0.6728904724382473,1.0,0.6746642054736921,3.7647685954925825,0.0,all
cup_low,1933,0.6827073291912741,0.9958613554061045,0.6845730612622151,8.180680860374654,0.0,all;low_event_density;small_rigid_object
dog_motion,2788,0.6905123797889116,0.9885222381635581,0.6923686883957044,7.615455942599688,0.0010760401721664275,all;fast_motion
truck,1131,0.6932006197967278,1.0,0.6951452515835455,3.334742917539219,0.0,all
box_low,2084,0.6973451663784423,0.9990403071017274,0.6992235860979169,8.841136556835563,0.0,all;low_event_density;small_rigid_object
dove_motion,2202,0.7193505454087642,0.9500454132606722,0.7215886623632437,9.074143750674539,0.002270663033605813,all;fast_motion
dog,642,0.7402300977761328,1.0,0.7424961313753435,3.4905799907329267,0.0,all
dove_mul222,1297,0.7488492102872585,0.9660755589822668,0.7513671186838862,7.990546076267161,0.0038550501156515036,all;similar_or_multiple_objects
cow_mul222,2231,0.7562208484407382,0.9892424921559838,0.7586677847916651,6.883477275439746,0.010309278350515464,all;similar_or_multiple_objects
tower,1144,0.7568026033372568,1.0,0.7595001993767176,4.04582261457711,0.0,all;large_or_deformable_object
tank_low,2276,0.817727818476048,1.0,0.8208091364022788,2.5669904446595946,0.0,all;low_event_density
