sequence,frames,auc,pr20,mean_iou,mean_center_error,failure_rate_iou_010,category_tags
cup222,2010,0.28185803654992364,0.5159203980099503,0.2776131072518832,51.14376926793433,0.4393034825870647,all;small_rigid_object
giraffe222,2390,0.28906748415427314,0.5953974895397489,0.28551682430239844,57.936799883558685,0.3393305439330544,all;large_or_deformable_object
giraffe_motion,1500,0.30224422442244236,0.548,0.2985441435625315,46.18358725504084,0.372,all;fast_motion;large_or_deformable_object
fighter_mul,2000,0.3466534653465347,0.6345,0.34350516578216195,36.47726290224806,0.3415,all;similar_or_multiple_objects
bottle_mul222,1101,0.36979883274430986,0.5286103542234333,0.3671336292680357,50.31205341408005,0.3006357856494096,all;similar_or_multiple_objects;small_rigid_object
dove_mul,1930,0.41726260708972457,0.7093264248704664,0.41553628687511934,26.28871040689104,0.20259067357512953,all;similar_or_multiple_objects
bike222,1899,0.47743210339991343,0.8151658767772512,0.47654426986565585,29.34436842014588,0.15587151132174829,all
star_mul222,2036,0.5056118578459025,0.7676817288801572,0.5050910950810579,24.684691287980932,0.15471512770137524,all;similar_or_multiple_objects
ship_motion,2301,0.516572648138347,0.9787049109083007,0.5165685554623893,7.35783424275383,0.009561060408518035,all;fast_motion
bike333,2001,0.531833093354313,0.9305347326336831,0.5320863755964844,8.935531765622606,0.029985007496251874,all
elephant222,2290,0.5459596177958407,0.8864628820960698,0.5462308671845616,12.441621851162507,0.07991266375545851,all;large_or_deformable_object
giraffe_low,2267,0.552520668917355,0.960741067490075,0.5529951422476309,21808.967401014565,0.0105866784296427,all;low_event_density;large_or_deformable_object
tower333,2401,0.5652554010086557,0.941274468971262,0.5656981461421117,11.300755326767408,0.03915035401915869,all;large_or_deformable_object
star_motion,2122,0.5708886628530903,0.9868049010367578,0.5716140773651686,6.823990455954056,0.008953817153628653,all;fast_motion
star_mul,2160,0.5808489182251559,0.9847222222222223,0.5816645152428906,6.835900096679872,0.011111111111111112,all;similar_or_multiple_objects
airplane_mul222,2051,0.6007743143890206,0.9687957094100439,0.601580351242597,6.963388510047206,0.024865919063871283,all;similar_or_multiple_objects
whale_mul222,2171,0.609008943271112,0.8512206356517734,0.6100063459495695,15.218312099596297,0.04053431598341778,all;similar_or_multiple_objects;large_or_deformable_object
truck_hdr,1969,0.6123930828837072,0.9974606399187405,0.6134388821688955,7.239937001863604,0.001015744032503809,all;high_dynamic_range
bike_low,1290,0.6337017422672498,0.993798449612403,0.6349340902587552,11.822319350898146,0.0,all;low_event_density
ship,967,0.6343391319483551,1.0,0.6356695725232888,6.180801904989324,0.001034126163391934,all
dove_motion,2202,0.6513655452738734,0.8524069028156221,0.6528462123310194,12.429117566839192,0.007266121707538601,all;fast_motion
box_hdr,1948,0.6578923292739953,0.9532854209445585,0.6594151508301146,9.038470082732452,0.006160164271047228,all;high_dynamic_range;small_rigid_object
dog_motion,2788,0.6590621759449976,0.9634146341463414,0.6605811304674986,8.594416570823105,0.0007173601147776184,all;fast_motion
dove_mul222,1297,0.666221363848027,0.8411719352351581,0.6678734703695651,11.879743723336844,0.002313030069390902,all;similar_or_multiple_objects
box_low,2084,0.6756047965641095,0.9640115163147792,0.6773731383075973,10.221930382215607,0.0,all;low_event_density;small_rigid_object
cup_low,1933,0.6806738614885806,0.9948266942576306,0.682382136040222,8.210585524558129,0.0,all;low_event_density;small_rigid_object
star,1156,0.6987306862174107,1.0,0.7006312620848748,3.4348630171199206,0.0,all
truck,1131,0.7303621608845233,1.0,0.7325789041760069,3.006927167580491,0.0,all
cow_mul222,2231,0.7574190857005915,0.9856566562079785,0.7600345743580601,6.963859876434881,0.012102196324518153,all;similar_or_multiple_objects
dog,642,0.7630393880509547,1.0,0.765523575637853,3.1981144685128924,0.0,all
tower,1144,0.7741033718756491,1.0,0.7768323715564901,3.808849421000971,0.0,all;large_or_deformable_object
tank_low,2276,0.7801336372653084,1.0,0.7828627624366978,3.1426052788693175,0.0,all;low_event_density
