sequence,frames,auc,pr20,mean_iou,mean_center_error,failure_rate_iou_010,category_tags
truck_hdr,1969,0.07033776003298654,0.13001523616048755,0.06179585772737142,84.4449332061082,0.8816658202133062,all;high_dynamic_range
bike_low,1290,0.09062859774349531,0.04263565891472868,0.08518208373341318,116.91467787606467,0.7573643410852713,all;low_event_density
bottle_mul222,1101,0.12137480778050555,0.16802906448683017,0.11456256780139729,66.78504698661699,0.698455949137148,all;similar_or_multiple_objects;small_rigid_object
airplane_mul222,2051,0.210614479292883,0.3412969283276451,0.20520685322450813,56.54305761158108,0.5958069234519746,all;similar_or_multiple_objects
box_low,2084,0.23088215731361997,0.30230326295585414,0.22561691161003317,72.92678458701516,0.5566218809980806,all;low_event_density;small_rigid_object
cup222,2010,0.3085266735628787,0.5407960199004975,0.30464026446678855,54.59304966975464,0.42039800995024873,all;small_rigid_object
cup_low,1933,0.3239462590852982,0.43610967408173823,0.3212418280267369,40.489034385985526,0.21883083290222452,all;low_event_density;small_rigid_object
box_hdr,1948,0.35718279220119137,0.43993839835728954,0.3530512717846545,88.40358323675295,0.5426078028747433,all;high_dynamic_range;small_rigid_object
giraffe_motion,1500,0.3618019801980198,0.7773333333333333,0.35950367904534414,28.927529279841654,0.18466666666666667,all;fast_motion;large_or_deformable_object
bike222,1899,0.38676426884394605,0.6055818852027383,0.38406490977860314,52.21281337216593,0.33912585571353343,all
tower333,2401,0.40885192226011446,0.7263640149937526,0.40750529128296903,21.044607136128157,0.14618908788004997,all;large_or_deformable_object
star_mul222,2036,0.4450339434729327,0.6149312377210217,0.4429159643411097,45.20805551769568,0.34577603143418467,all;similar_or_multiple_objects
whale_mul222,2171,0.4529782780212614,0.5647167204053432,0.4514801934370094,40.315590822925195,0.2680792261630585,all;similar_or_multiple_objects;large_or_deformable_object
dove_mul222,1297,0.45302564180859095,0.5720894371626831,0.4522303157100882,24.468931439716393,0.07324595219737856,all;similar_or_multiple_objects
fighter_mul,2000,0.49119801980198025,0.811,0.49039626836779826,18.739610300927023,0.166,all;similar_or_multiple_objects
tank_low,2276,0.5022881901546921,0.7803163444639719,0.5014400532098344,32.42739983726578,0.19639718804920914,all;low_event_density
bike333,2001,0.5266723074106511,0.7806096951524237,0.526298120025125,14.916450280559044,0.15942028985507245,all
giraffe222,2390,0.5273167902564315,0.8129707112970711,0.5270024751072236,37.91098684335407,0.1594142259414226,all;large_or_deformable_object
cow_mul222,2231,0.558422942249402,0.7951591214701927,0.558402127023611,20.516855605294783,0.12550425818018826,all;similar_or_multiple_objects
giraffe_low,2267,0.5666580773648605,0.948831054256727,0.5671622410210335,21813.369104432026,0.03617115130127922,all;low_event_density;large_or_deformable_object
dove_mul,1930,0.6182167957728415,0.8958549222797928,0.6188834735629362,12.888433184236115,0.07616580310880829,all;similar_or_multiple_objects
star_mul,2160,0.6337687935460211,0.9990740740740741,0.6351070609843197,4.807986620765075,0.001851851851851852,all;similar_or_multiple_objects
ship_motion,2301,0.6546701606275361,0.9973924380704041,0.6561105787985786,4.362707286353447,0.0021729682746631897,all;fast_motion
star,1156,0.6681198396656276,1.0,0.6699315674418808,3.780258909759358,0.0,all
elephant222,2290,0.6709066539841758,0.9427947598253276,0.6723689629790391,8.33216131461824,0.04148471615720524,all;large_or_deformable_object
tower,1144,0.6761406909921762,1.0,0.6779674163823999,4.592382622665773,0.0,all;large_or_deformable_object
star_motion,2122,0.6777232388648856,0.998114985862394,0.6795858868285992,4.440446098969349,0.002827521206409048,all;fast_motion
ship,967,0.6799840273582684,0.9576008273009308,0.6816660109776753,9.397125061466287,0.038262668045501554,all
truck,1131,0.6863198256165141,0.9964633068081344,0.6883061257687014,3.5130664400274334,0.0,all
dog_motion,2788,0.6878453627285254,0.9913916786226685,0.6896433310070683,7.801620073589554,0.0007173601147776184,all;fast_motion
dog,642,0.7633169859041979,1.0,0.7659723865114051,3.470697322785242,0.0,all
dove_motion,2202,0.831822555552558,0.9909173478655767,0.8349816856458544,4.93298013919697,0.0,all;fast_motion
