sequence,frames,auc,pr20,mean_iou,mean_center_error,failure_rate_iou_010,category_tags
giraffe222,2390,0.2006214010522391,0.4401673640167364,0.19527763856292613,89.171367879163,0.507112970711297,all;large_or_deformable_object
fighter_mul,2000,0.22823762376237625,0.504,0.22363767358436054,53.47774833858006,0.425,all;similar_or_multiple_objects
cup222,2010,0.2574897788286291,0.5069651741293533,0.2532456035220623,48.53606146274682,0.40497512437810945,all;small_rigid_object
giraffe_motion,1500,0.31442904290429047,0.5673333333333334,0.31091122136807087,64.47075940161123,0.35133333333333333,all;fast_motion;large_or_deformable_object
dove_mul,1930,0.3628020314984866,0.5813471502590674,0.36032210244231083,41.23739118054048,0.2756476683937824,all;similar_or_multiple_objects
airplane_mul222,2051,0.3701309672654247,0.6382252559726962,0.3671364570622828,48.37494875037616,0.3456850316918576,all;similar_or_multiple_objects
elephant222,2290,0.370746681655065,0.6275109170305677,0.3678775374166202,48.91472842042586,0.32707423580786027,all;large_or_deformable_object
bike222,1899,0.4476509262300638,0.7414428646656135,0.44603280955247054,38.03677143635426,0.21590310689836756,all
star_mul222,2036,0.48002295317940435,0.7470530451866405,0.4789088230804685,28.289949716239576,0.1856581532416503,all;similar_or_multiple_objects
star_motion,2122,0.490378962495684,0.910933081998115,0.4900617693883307,15.316437521602147,0.0706880301602262,all;fast_motion
bottle_mul222,1101,0.4923786656594815,0.7356948228882834,0.4916981389687216,32.14423769100238,0.148047229791099,all;similar_or_multiple_objects;small_rigid_object
giraffe_low,2267,0.5161355129778528,0.9541243934715483,0.5163330854735544,21809.25723151054,0.014556682840758712,all;low_event_density;large_or_deformable_object
truck_hdr,1969,0.5204682479421127,0.9832402234636871,0.5206118496263442,8.901406424946698,0.004062976130015236,all;high_dynamic_range
ship_motion,2301,0.5257765672264749,0.9826162538026945,0.5260025188292308,7.262664435814688,0.004345936549326379,all;fast_motion
star_mul,2160,0.5461037770443712,0.9555555555555556,0.5463830638232866,12.361378920529495,0.04212962962962963,all;similar_or_multiple_objects
tower333,2401,0.5639770557647185,0.9725114535610162,0.5646318300837372,8.679816112649029,0.007913369429404415,all;large_or_deformable_object
whale_mul222,2171,0.5674439392350106,0.8493781667434362,0.5679508758878353,16.533639237548698,0.041916167664670656,all;similar_or_multiple_objects;large_or_deformable_object
bike_low,1290,0.5859697597666742,0.9271317829457364,0.5867538313817986,14.321409873828026,0.0,all;low_event_density
bike333,2001,0.5901257292146007,0.95952023988006,0.5909429623536309,9.366731297051631,0.02348825587206397,all
box_hdr,1948,0.5917569683046334,0.9209445585215605,0.5926105663023437,11.369115974488055,0.025154004106776182,all;high_dynamic_range;small_rigid_object
dove_motion,2202,0.6162084873337469,0.885558583106267,0.6173866713719546,12.228841741769733,0.006811989100817439,all;fast_motion
cup_low,1933,0.6217391527047171,0.9875840662183135,0.6229546118945894,10.040865096507071,0.0,all;low_event_density;small_rigid_object
dove_mul222,1297,0.6291212775865096,0.9013107170393215,0.6304057682462919,11.462443180369528,0.0,all;similar_or_multiple_objects
box_low,2084,0.629544288401969,0.9928023032629558,0.6309660350618591,9.511157212304168,0.0,all;low_event_density;small_rigid_object
ship,967,0.6359056795028003,1.0,0.6372838666107253,6.178028898076361,0.0,all
star,1156,0.6697557298982495,1.0,0.6713705039920091,3.589607191463406,0.0,all
truck,1131,0.6731360138666386,1.0,0.6747255078779675,3.4927996222080093,0.0,all
cow_mul222,2231,0.6735912945844114,0.9421783953384133,0.6752449010667948,9.10697596440217,0.011205737337516808,all;similar_or_multiple_objects
dog_motion,2788,0.6780970780004829,0.9741750358680057,0.6799027899635287,8.983725717181906,0.011477761836441894,all;fast_motion
dog,642,0.718145646340335,1.0,0.7202286734374923,3.953691000037236,0.0,all
tank_low,2276,0.7247211540134684,1.0,0.7268877152844905,3.9387603115187013,0.0,all;low_event_density
tower,1144,0.7488229592189988,1.0,0.7513328184763679,4.033593958800154,0.0,all;large_or_deformable_object
