threshold,precision
0,0.00030156815440289503
1,0.015514006165393378
2,0.05525398740115266
3,0.11762833400348478
4,0.1936905240584372
5,0.2751474333199303
6,0.3502043961935397
7,0.425328374212572
8,0.49177389089934326
9,0.5519702452754323
10,0.606151990349819
11,0.652174641468972
12,0.689803645623911
13,0.7250871196890497
14,0.751893177858196
15,0.773807130411473
16,0.793241522584104
17,0.8083701916633159
18,0.8210528079345932
19,0.8314401554751374
20,0.8412746280659429
21,0.848177188044498
22,0.8541080284144217
23,0.8581121833534379
24,0.8622336147969442
25,0.8659194477952017
26,0.868918375552875
27,0.8715989813697895
28,0.873877496314167
29,0.8753183219407586
30,0.8770272081490417
31,0.8787696019300362
32,0.8803109502747621
33,0.8814334539605951
34,0.8827905106554081
35,0.8836114461868382
36,0.8846166733681812
37,0.8854711164723228
38,0.8864763436536657
39,0.8873978019032301
40,0.8880847071438145
41,0.8888721351025332
42,0.8896428092748961
43,0.8901454228655676
44,0.8908825894652191
45,0.8916365098512263
46,0.892306661305455
47,0.892842782468838
48,0.8933621498458651
49,0.8938815172228923
50,0.8944678997453425
