threshold,precision
0,0.0
1,0.028559245242790895
2,0.10566600927455892
3,0.18731410905602047
4,0.24768402537178189
5,0.2875859495762486
6,0.3170726507115825
7,0.3390331005809925
8,0.3563349501625713
9,0.3707265071158254
10,0.38217579020308085
11,0.39198336975640957
12,0.4006609455785939
13,0.4079953094184745
14,0.4155215606843985
15,0.42231224348382285
16,0.42850594318000107
17,0.43472096370129526
18,0.4408507009221257
19,0.4462768509141304
20,0.45188422791962046
21,0.45760886946324825
22,0.4631309631682746
23,0.46841852779702575
24,0.4733223175736901
25,0.478055540749427
26,0.48275678268749
27,0.48725547678695164
28,0.4919247374873408
29,0.49660465860028785
30,0.500655615372315
31,0.5049304408080593
32,0.5092585683065934
33,0.5137359415809392
34,0.5181919940301689
35,0.5225307819412611
36,0.5268162677895635
37,0.5306326954853153
38,0.53480091679548
39,0.5384361174777463
40,0.5424657534246575
41,0.5470817120622569
42,0.5509621022333564
43,0.5548957944672459
44,0.5592132615532222
45,0.5640850700922125
46,0.5687010287298119
47,0.5740951974841426
48,0.5794573850007996
49,0.5850860828314056
50,0.5901924204466713
