sequence,frames,auc,pr20,mean_iou,mean_center_error,failure_rate_iou_010,category_tags
dvSave-2021_02_06_17_57_54_personFootball,974,0.01126313863419197,0.002053388090349076,0.001409729381111984,146.95039119669406,0.9969199178644764,all
dvSave-2021_02_06_17_27_53_personFootball,656,0.011681960879014727,0.001524390243902439,0.0020060029156105494,185.46289423442423,0.9984756097560976,all
video_0064,579,0.012004309239214082,0.0034542314335060447,0.002157189926102208,149.09825557247197,0.9948186528497409,all
video_0039,269,0.014096948728330073,0.007434944237918215,0.004256858240964089,154.99179094812592,0.9925650557620818,all
dvSave-2021_02_14_16_22_06,553,0.016256960234902338,0.012658227848101266,0.006527855028552496,117.02203180154967,0.9873417721518988,all
dvSave-2021_02_14_16_56_01_house,365,0.01632985216329853,0.010958904109589041,0.006737019296862853,99.68988812336164,0.9808219178082191,all
roadLight_001,375,0.017399339933993396,0.010666666666666666,0.007715137668901996,128.12855365995648,0.984,all
dvSave-2021_02_15_12_44_27_chicken,206,0.017446890320099967,0.014563106796116505,0.007750801633347517,155.0182017196844,0.9902912621359223,all
dvSave-2021_02_06_17_41_45_personBasketball,644,0.01958674128282394,0.012422360248447204,0.009921000755748944,93.6949784060726,0.9782608695652174,all
dvSave-2021_02_15_13_01_16_Duck,297,0.02016868353502018,0.04377104377104377,0.010718788539383786,100.09577681579091,0.9663299663299664,all
video_0004,1233,0.021937960219379608,0.0040551500405515,0.012936783733913623,123.33849755287281,0.9578264395782644,all
UAV_long_001,2078,0.022746547994549216,0.03512993262752647,0.013209186119437026,137.40015332025652,0.9672762271414822,all
dvSave-2021_02_06_09_36_15_Pedestrian,407,0.024351083757024352,0.05896805896805897,0.015474446367617866,93.34001503641431,0.9631449631449631,all
dvSave-2021_02_06_17_31_03_personBasketball,524,0.026226286750812487,0.02480916030534351,0.01666980823429033,95.25059397630285,0.9675572519083969,all
dvSave-2021_02_04_20_56_55,116,0.0296176169341072,0.017241379310344827,0.021236040891932765,61.367703944622605,0.9482758620689655,all
00471_UAV_outdoor6,48,0.03424092409240924,0.08333333333333333,0.025129020443934242,129.34034111203496,0.9375,all
00514_person_outdoor6,80,0.037747524752475246,0.025,0.030473821543790434,93.21152849700442,0.975,all
dvSave-2021_02_15_10_23_05_basketall,1000,0.04374257425742575,0.066,0.03684266866598587,84.41058539435947,0.945,all
dvSave-2021_02_06_08_56_40_windowPattern2,178,0.04494382022471911,0.05056179775280899,0.03573927851490522,71.0316391067454,0.9382022471910112,all
dvSave-2021_02_04_21_21_24,200,0.04589108910891089,0.05,0.036615308958580714,108.38578906386476,0.95,all
dvSave-2021_02_06_10_09_04_bottle,518,0.04637027409304637,0.10617760617760617,0.03735518913044749,127.96000243306764,0.88996138996139,all;small_rigid_object
dvSave-2021_02_15_23_56_17,540,0.04790979097909791,0.05555555555555555,0.03898176424898312,74.79650328321762,0.9203703703703704,all
dvSave-2021_02_06_10_17_16_paperClips,1471,0.04945783497452397,0.06458191706322229,0.04143147456618325,99.57467648539938,0.9354180829367778,all
dvSave-2021_02_06_09_35_08_Pedestrian,811,0.05002991051262956,0.06658446362515413,0.041204483001952424,89.5229223561581,0.905055487053021,all
dvSave-2021_02_12_13_56_29,722,0.05021804119470119,0.05955678670360111,0.04113422634571652,112.71296583684547,0.9362880886426593,all
dvSave-2021_02_15_10_12_19_basketball,1117,0.05135750817695913,0.39122649955237243,0.04534339429426598,38.84903750043384,0.8836168307967771,all
dvSave-2021_02_06_10_14_17_paperClip,860,0.051772967994473874,0.28837209302325584,0.044059819646448665,88.9660224221417,0.8802325581395349,all
dvSave-2021_02_15_10_14_18_chicken,1032,0.053582393123033235,0.09593023255813954,0.04473765944759353,132.26711338471395,0.8982558139534884,all
video_0076,70,0.057142857142857134,0.07142857142857142,0.05004668708175833,43.76907301870426,0.9,all
