sequence,frames,auc,pr20,mean_iou,mean_center_error,failure_rate_iou_010,category_tags
dvSave-2021_02_06_10_05_38_phone,2297,0.012323435216834698,0.00043535045711797995,0.0024974610500518315,172.23630543572276,0.9912929908576404,all
dvSave-2021_02_14_16_22_06,553,0.013105831378797925,0.003616636528028933,0.0032581456751366224,119.77466992408633,0.9963833634719711,all
dvSave-2021_02_15_13_01_16_Duck,297,0.015201520152015209,0.010101010101010102,0.005458366864908281,126.30853381199094,0.98989898989899,all
tennis_long_006,938,0.015959804935717456,0.019189765458422176,0.006241777376733032,208.9998691246043,0.9829424307036247,all
dvSave-2021_02_06_17_33_01_personBasketball,898,0.01969172418355421,0.012249443207126948,0.009984700408148141,149.29422320694073,0.9832962138084632,all
dvSave-2021_02_06_08_56_18_windowPattern,336,0.023603253182461096,0.020833333333333332,0.013918467238317776,114.37443294425599,0.9791666666666666,all
video_0021,1109,0.024649804926389844,0.027953110910730387,0.015066346301356538,133.53930005524376,0.9702434625788999,all
00241_tennis_outdoor4,104,0.03189261233815689,0.028846153846153848,0.02233681178334017,140.39688873282665,0.9711538461538461,all
dvSave-2021_02_15_12_44_27_chicken,206,0.033259636643275976,0.05825242718446602,0.023954911998667953,128.4245024443204,0.941747572815534,all
00471_UAV_outdoor6,48,0.0363036303630363,0.0625,0.02715207263064086,72.46326600258105,0.9375,all
dvSave-2021_02_15_10_14_18_chicken,1032,0.041561132857471796,0.07364341085271318,0.032407132352911365,146.0247405322928,0.9292635658914729,all
dvSave-2021_02_04_20_56_55,116,0.043359508364629575,0.034482758620689655,0.03471770849935065,93.10955083343073,0.9396551724137931,all
video_0005,632,0.04413147010903622,0.04113924050632911,0.0358570576402273,103.33360898227613,0.9034810126582279,all
dvSave-2021_02_06_08_56_40_windowPattern2,178,0.045277561464011566,0.05056179775280899,0.036187166165139506,75.46184130076685,0.949438202247191,all
dvSave-2021_02_06_17_57_54_personFootball,974,0.04835627299896313,0.10369609856262833,0.03925379896821012,121.26554901208898,0.9281314168377823,all
video_0004,1233,0.0486457404864574,0.09651257096512571,0.03969846558876602,149.3142934569876,0.8969991889699919,all
dvSave-2021_02_06_17_41_45_personBasketball,644,0.05948281163520079,0.07142857142857142,0.05048883463761054,87.18400318094912,0.9208074534161491,all
dvSave-2021_02_06_09_35_08_Pedestrian,811,0.06330041142215331,0.093711467324291,0.054717011701483756,80.53484657163591,0.8951911220715166,all
video_0049,544,0.06624927198602214,0.11029411764705882,0.05749766754077617,133.92438227411137,0.8897058823529411,all
dvSave-2021_02_15_10_12_19_basketball,1117,0.06811916643768225,0.19068934646374217,0.05984787812862591,79.75338808361924,0.8316920322291853,all
dvSave-2021_02_06_09_36_15_Pedestrian,407,0.07118009098207119,0.13267813267813267,0.06263116991097671,104.66614497548304,0.8771498771498771,all
dvSave-2021_02_06_10_17_16_paperClips,1471,0.07805695593352673,0.1230455472467709,0.06954233265886668,99.12064387809657,0.868116927260367,all
dvSave-2021_02_15_13_13_44_whitecar,106,0.07939473192602278,0.1320754716981132,0.07168289630003254,60.47089829129494,0.8490566037735849,all
UAV_long_001,2078,0.07965103536340161,0.30365736284889316,0.07196350239522971,103.89136507632455,0.7261790182868142,all
00514_person_outdoor6,80,0.08366336633663365,0.1625,0.0756337888799713,99.57320971720557,0.8375,all
dvSave-2021_02_15_23_56_17,540,0.09818481848184818,0.13703703703703704,0.09033441217237678,76.28325653954434,0.7962962962962963,all
video_0060,1031,0.09836648068298584,0.1542192046556741,0.09050820842000996,53.665016807930364,0.8467507274490785,all
video_0076,70,0.09886845827439886,0.2714285714285714,0.0930222572184759,31.201795584730824,0.6285714285714286,all
tennis_long_002,773,0.10059815813405402,0.17335058214747737,0.09246273128824155,107.39098311079461,0.833117723156533,all
dvSave-2021_02_04_21_20_22,257,0.10189929498786457,0.054474708171206226,0.09656698658745519,103.63344352410863,0.7509727626459144,all
dvSave-2021_02_06_17_51_05_personBasketball,745,0.1066648946773872,0.1436241610738255,0.09918246207932828,89.96875125476717,0.7865771812080536,all
dvSave-2021_02_04_21_21_24,200,0.10702970297029701,0.17,0.09889205942672367,92.80181049119068,0.82,all
dvSave-2021_02_06_17_20_28_personFootball,520,0.113004569687738,0.19807692307692307,0.10525422945335582,88.15076875217476,0.7923076923076923,all
dvSave-2021_02_15_13_04_57_Duck,519,0.11440508212670977,0.21579961464354527,0.10703089089825385,107.83565372859766,0.7687861271676301,all
dvSave-2021_02_12_13_39_56,1531,0.1235069293996676,0.035924232527759635,0.11889032807487868,72.20576582328096,0.49118223383409537,all
dvSave-2021_02_12_13_38_26,2167,0.12559682364175503,0.11075219197046608,0.12088391550194343,59.182999830486914,0.594370096908168,all
dvSave-2021_02_06_09_24_26_Pedestrian1,252,0.12666980983812667,0.1865079365079365,0.11988729469132516,37.34985782680984,0.7063492063492064,all
dvSave-2021_02_06_17_45_17_personBasketball,564,0.1382627624464574,0.1879432624113475,0.13145184600376225,62.11223126307856,0.700354609929078,all
video_0032,1932,0.13922370497919356,0.30952380952380953,0.13234356675672937,56.49400750349292,0.6909937888198758,all
dvSave-2021_02_06_15_08_41_flag,613,0.14320094325908936,0.2528548123980424,0.13602658380335522,138.34817194953274,0.7438825448613376,all
dvSave-2021_02_06_10_09_04_bottle,518,0.15090408654765092,0.3281853281853282,0.1441897313613515,95.40656917303556,0.6737451737451737,all;small_rigid_object
dvSave-2021_02_15_12_45_02_Duck,463,0.150931291833287,0.4060475161987041,0.1447137060567831,44.548979210582765,0.5766738660907127,all
video_0008,65,0.1533891850723534,0.23076923076923078,0.1458441613394986,121.19727310211753,0.7692307692307693,all
dvSave-2021_02_14_16_53_15_flag,1089,0.15607924428806516,0.04040404040404041,0.15118702551358293,90.10335469364176,0.42424242424242425,all
dvSave-2021_02_15_13_27_20_bottle,814,0.1586226190186586,0.17567567567567569,0.15224528242621957,105.13639849343095,0.6744471744471745,all;small_rigid_object
dvSave-2021_02_15_13_24_49_girlhead,385,0.1603446058891603,0.19480519480519481,0.1529377737927772,145.7293731331604,0.8051948051948052,all
dvSave-2021_02_15_10_22_23_basketball,193,0.16108346585953934,0.34196891191709844,0.15510290681686154,41.67345835378456,0.6424870466321243,all
dvSave-2021_02_15_10_26_11_chicken,702,0.1614905080251615,0.198005698005698,0.15508086089800394,97.54395831547902,0.6438746438746439,all
00490_UAV_outdoor6,75,0.16184818481848184,0.17333333333333334,0.15516575774297095,111.56083915385575,0.6933333333333334,all
dvSave-2021_02_06_09_36_44_Pedestrian,45,0.16523652365236524,0.24444444444444444,0.15937378847056072,57.88961927778851,0.5777777777777777,all
dvSave-2021_02_06_17_27_53_personFootball,656,0.16561518956773727,0.23932926829268292,0.1595574965056993,46.25054968870806,0.5914634146341463,all
dvSave-2021_02_15_13_08_12_blackcar,259,0.17470086777017474,0.3088803088803089,0.16875943609194652,78.65189978743605,0.7181467181467182,all
dvSave-2021_02_06_17_47_49_personBasketball,903,0.17736258675701455,0.26356589147286824,0.17050467828592808,82.15768892942695,0.7275747508305648,all
dvSave-2021_02_06_17_53_39_personFootball,971,0.18249023666527314,0.37899073120494337,0.17649394557671394,51.105014377770516,0.6364572605561277,all
dvSave-2021_02_15_10_23_05_basketall,1000,0.18412871287128715,0.355,0.1785826654511204,50.01523365908125,0.615,all
dvSave-2021_02_06_17_36_49_personBasketball,598,0.1893936885327329,0.3745819397993311,0.18343070784813387,33.910709826578106,0.6521739130434783,all
dvSave-2021_02_15_10_23_05_boyhead,1153,0.20003778348346543,0.33998265394622723,0.19390770235235052,89.70131773093937,0.6565481352992194,all
dvSave-2021_02_15_13_10_54_person,228,0.20188466215042558,0.3333333333333333,0.19565437553322026,77.33661191946693,0.6447368421052632,all
video_0050,1157,0.21091590576516597,0.29559204840103714,0.20442657180845045,50.180913658310736,0.7052722558340536,all
video_0058,933,0.21222926151136015,0.2979635584137192,0.20580836003515143,62.1871690819273,0.7020364415862809,all
dvSave-2021_02_06_09_58_27_DigitAI,942,0.2216266212608522,0.12632696390658174,0.2184042342422421,60.54235510821999,0.26008492569002123,all
dvSave-2021_02_15_13_05_43_Chicken,206,0.2225319619340575,0.39805825242718446,0.2171311965540627,67.96268647604144,0.5679611650485437,all
video_0026,690,0.22287272205481418,0.36231884057971014,0.2169335245090097,40.728751431898274,0.6420289855072464,all
