threshold,precision
0,0.0
1,0.02924151164650072
2,0.09467512392729599
3,0.15753957678162145
4,0.20729172218964875
5,0.24591439688715952
6,0.27579553328713824
7,0.30108203187463356
8,0.3203986994296679
9,0.3374873407600874
10,0.3524652204040296
11,0.36555620702521185
12,0.3772400191887426
13,0.38684505090347
14,0.39669527210703054
15,0.4051809605031715
16,0.4129097596076968
17,0.4205745962368744
18,0.42784499760140715
19,0.435104738553382
20,0.4411811737114226
21,0.4471190235062097
22,0.4522573423591493
23,0.45717179254837165
24,0.462075582325036
25,0.46677682426309897
26,0.4719684451788284
27,0.47720270774478973
28,0.4823943286605192
29,0.48719151431160385
30,0.4922232290389638
31,0.49712701881562815
32,0.5014125046639305
33,0.5059431800010661
34,0.5103032887372742
35,0.5149192473748734
36,0.5198976600394435
37,0.5247161665156441
38,0.5292468418527797
39,0.5333937423378284
40,0.537903096849848
41,0.542018016097223
42,0.5462715207078513
43,0.5511966313096317
44,0.5557379670593252
45,0.5602473215713448
46,0.5646607323703428
47,0.5692553701828261
48,0.5739566121208891
49,0.5784446458077928
50,0.5828473961942328
