sequence,frames,auc,pr20,mean_iou,mean_center_error,failure_rate_iou_010,category_tags
video_0032,1932,0.011663899309185582,0.002587991718426501,0.001798888530676646,122.17522318589295,0.9974120082815735,all
video_0039,269,0.013250395671537402,0.011152416356877323,0.0034010618815465774,153.99563285411435,0.9962825278810409,all
dvSave-2021_02_06_17_57_54_personFootball,974,0.013550328338788711,0.004106776180698152,0.0037849327943908478,97.73253825673704,0.9917864476386037,all
tennis_long_004,453,0.01462199200052456,0.006622516556291391,0.004777083951911862,111.45108706218927,0.9933774834437086,all
dvSave-2021_02_15_13_01_16_Duck,297,0.014934826816014933,0.006734006734006734,0.005134874697754202,176.90706211935301,0.9932659932659933,all
dvSave-2021_02_06_17_21_41_personFootball,572,0.014955341688014963,0.006993006993006993,0.005171144058084273,145.5416778757591,0.993006993006993,all
video_0021,1109,0.016480818505655796,0.010820559062218215,0.006714121303668942,202.33608728653587,0.9891794409377818,all
video_0054,1075,0.016790237163251207,0.017674418604651163,0.007045073697202884,153.6257177617366,0.9841860465116279,all
tennis_long_002,773,0.01872606406824383,0.02457956015523933,0.009046544434267409,222.60085491488624,0.9754204398447607,all
dvSave-2021_02_14_16_22_06,553,0.019050006266449426,0.014466546112115732,0.009307003605175942,116.02993258954555,0.9819168173598554,all
dvSave-2021_02_15_10_26_11_chicken,702,0.0207046345660207,0.018518518518518517,0.011648973489342762,137.8078828295308,0.9829059829059829,all
dvSave-2021_02_06_08_56_40_windowPattern2,178,0.020747580376015123,0.016853932584269662,0.010991122742518728,158.81860947514966,0.9831460674157303,all
UAV_long_001,2078,0.020997913073309254,0.023099133782483156,0.011855906636916153,85.31808666939786,0.9744947064485082,all
tennis_long_006,938,0.02179695581498449,0.0650319829424307,0.012294043870584475,113.97877190383592,0.9658848614072495,all
dvSave-2021_02_06_17_31_03_personBasketball,524,0.02199380243367849,0.01717557251908397,0.012280207503211016,128.6726241177724,0.982824427480916,all
dvSave-2021_02_06_17_27_53_personFootball,656,0.022533808258874667,0.027439024390243903,0.013074464321790448,124.33100925944133,0.9862804878048781,all
dvSave-2021_02_06_09_36_15_Pedestrian,407,0.02257523049602258,0.03194103194103194,0.012992891996265589,132.163353200813,0.9705159705159705,all
dvSave-2021_02_15_13_08_12_blackcar,259,0.025306777782025305,0.02702702702702703,0.016053490532918702,103.43709195017512,0.972972972972973,all
dvSave-2021_02_15_12_44_27_chicken,206,0.02657887147938094,0.05339805825242718,0.017232483119623682,64.29146119023846,0.9660194174757282,all
video_0004,1233,0.026996860269968604,0.042173560421735604,0.017606296169182648,153.47776781921172,0.9513381995133819,all
dvSave-2021_02_15_10_14_18_chicken,1032,0.02816793307237701,0.09205426356589147,0.018903005927273314,127.25059105836537,0.9447674418604651,all
video_0067,1552,0.030736449933653154,0.043170103092783504,0.02127130477470829,136.96441242459682,0.9574742268041238,all
dvSave-2021_02_15_13_02_21_Chicken,504,0.03268898318403269,0.06349206349206349,0.02356598701465897,93.78882431090143,0.9325396825396826,all
dvSave-2021_02_15_13_05_43_Chicken,206,0.0340286455830049,0.038834951456310676,0.024707957558173833,246.9875569932071,0.941747572815534,all
video_0005,632,0.03404248652713372,0.03164556962025317,0.024707357223715747,145.91168789398918,0.9699367088607594,all
video_0026,690,0.036016645142775146,0.036231884057971016,0.026558994584230677,158.79128946481353,0.9637681159420289,all
dvSave-2021_02_15_13_04_57_Duck,519,0.03842118315877831,0.04816955684007707,0.02904002565646451,243.0637560982357,0.9518304431599229,all
dvSave-2021_02_12_13_38_26,2167,0.03907395815723705,0.09229349330872173,0.031191419742034755,119.20662265768297,0.9229349330872173,all
00514_person_outdoor6,80,0.042574257425742584,0.0625,0.03335215429178211,77.44044329287206,0.9375,all
dvSave-2021_02_06_17_41_45_personBasketball,644,0.046291740975339765,0.06366459627329192,0.037239130193225785,93.14184586179246,0.9161490683229814,all
00345_UAV_outdoor6,88,0.04882988298829884,0.125,0.04082364910836666,42.44425924416271,0.875,all
video_0079,580,0.051570501877773976,0.11379310344827587,0.04267660471026219,157.3110763249151,0.9241379310344827,all
dvSave-2021_02_15_10_23_05_basketall,1000,0.052217821782178216,0.078,0.04337625468677506,93.41687047579984,0.921,all
tennis_long_001,650,0.05640517897943639,0.1076923076923077,0.04755741733121609,218.6488095769719,0.8876923076923077,all
dvSave-2021_02_06_10_03_17_GreenPlant,2139,0.05873476548215832,0.05236091631603553,0.049937833702849654,178.12637397545484,0.8990182328190743,all
dvSave-2021_02_06_10_14_17_paperClip,860,0.05946350448998389,0.08604651162790698,0.05049754704983434,134.54366068179164,0.913953488372093,all
dvSave-2021_02_15_23_56_17,540,0.06123945727906125,0.07777777777777778,0.0523528792575922,156.91522093593878,0.9111111111111111,all
dvSave-2021_02_14_16_21_40,406,0.06589279617616936,0.7832512315270936,0.06099849322664453,15.27074679363714,0.8768472906403941,all
dvSave-2021_02_15_10_22_23_basketball,193,0.06699840968552814,0.17098445595854922,0.06017923318494477,56.65917561146221,0.8031088082901554,all
dvSave-2021_02_06_17_20_28_personFootball,520,0.06742193450114242,0.08653846153846154,0.05866410805970816,129.01320765314154,0.9019230769230769,all
dvSave-2021_02_04_20_56_55,116,0.06939228405599179,0.0603448275862069,0.06094584888213388,128.90035447996735,0.8362068965517241,all
dvSave-2021_02_15_12_45_02_Duck,463,0.07266428586703164,0.12742980561555076,0.06403458638903095,99.13918266105736,0.8790496760259179,all
dvSave-2021_02_06_08_56_18_windowPattern,336,0.07325553983969825,0.08928571428571429,0.06446089283308114,117.66748584155364,0.9107142857142857,all
video_0050,1157,0.07481793987523214,0.08556611927398444,0.0660047907363754,119.23490877286493,0.9144338807260155,all
video_0029,1097,0.07798045073422566,0.08568824065633546,0.06923174927576244,142.11510540303405,0.9143117593436645,all
dvSave-2021_02_15_10_23_05_boyhead,1153,0.07889019604475626,0.13183000867302688,0.07023884492450447,132.70354095040886,0.9028620988725065,all
dvSave-2021_02_06_17_33_01_personBasketball,898,0.07891022955302213,0.12806236080178174,0.07049433777544489,107.15701482780167,0.8518930957683741,all
dvSave-2021_02_06_15_14_26_blackcar,103,0.08459098337018166,0.11650485436893204,0.07599623414456175,96.04640850306532,0.883495145631068,all
video_0076,70,0.08571428571428569,0.14285714285714285,0.07708307100914433,39.33774378887812,0.8714285714285714,all
video_0073,482,0.08738342713939444,0.1078838174273859,0.07880224269053497,117.18222047813553,0.8900414937759336,all
dvSave-2021_02_06_17_16_26_whitecar,506,0.08797401479278363,0.08498023715415019,0.07980991473732162,97.608186810672,0.8596837944664032,all
dvSave-2021_02_16_17_34_11,1372,0.08900066391478796,0.048104956268221574,0.08325102686425745,56.834885584050866,0.7244897959183674,all
dvSave-2021_02_06_09_35_08_Pedestrian,811,0.09830181538499103,0.11713933415536375,0.09172668995893614,66.54448548313171,0.8594327990135635,all
dvSave-2021_02_06_10_17_16_paperClips,1471,0.10120413808885988,0.1318830727396329,0.09289805786038621,101.82176258882362,0.8687967369136642,all
video_0049,544,0.108091875364007,0.1488970588235294,0.0999840759457537,128.52557513841293,0.8474264705882353,all
video_0056,1254,0.10970044372858338,0.14274322169059012,0.10152770190094802,147.69344194140595,0.8572567783094099,all
dvSave-2021_02_15_13_13_44_whitecar,106,0.11161965253129087,0.39622641509433965,0.10558775685903148,101.96232244695531,0.7641509433962265,all
dvSave-2021_02_12_13_39_56,1531,0.11246127878627184,0.046374918354016983,0.10788263202605797,76.16018704699819,0.6779882429784455,all
dvSave-2021_02_15_13_10_54_person,228,0.1188118811881188,0.706140350877193,0.11381102913897448,19.34443295936496,0.7017543859649122,all
dvSave-2021_02_06_17_15_20_whitecar,577,0.12140295485354428,0.17850953206239167,0.11388949926821851,111.54457218852932,0.7937608318890814,all
video_0015,344,0.12376237623762376,0.029069767441860465,0.11964433889066828,44.067506510527515,0.45348837209302323,all
dvSave-2021_02_06_10_05_38_phone,2297,0.12441540192330074,0.12755768393556813,0.11741970562516159,98.01103272801099,0.7562037440139312,all
dvSave-2021_02_04_20_49_43,1666,0.13333055994675094,0.04321728691476591,0.12841357188787195,72.97019268641992,0.553421368547419,all
dvSave-2021_02_06_17_45_17_personBasketball,564,0.1336107014956815,0.15425531914893617,0.12672993373488348,77.53072250140023,0.7446808510638298,all
dvSave-2021_02_06_17_53_39_personFootball,971,0.13455557708191004,0.23069001029866118,0.12710564877539463,98.42359561546075,0.7950566426364573,all
dvSave-2021_02_15_10_12_19_basketball,1117,0.13547603641295194,0.2954341987466428,0.12816058286576254,48.66935646198653,0.7538048343777977,all
dvSave-2021_02_15_12_53_54_personHead,459,0.13921784335296272,0.31808278867102396,0.13234532604534238,55.330299529649906,0.7254901960784313,all
tennis_long_007,1512,0.1423070878516423,0.2830687830687831,0.1350603298621994,84.14365181786235,0.7513227513227513,all
00490_UAV_outdoor6,75,0.1446864686468647,0.21333333333333335,0.1394173960895109,71.53732173873095,0.6133333333333333,all
00340_UAV_outdoor6,88,0.1464896489648965,0.2159090909090909,0.13891672147244072,111.146360828072,0.7840909090909091,all
video_0058,933,0.1489817792068596,0.21114683815648447,0.1416035451972392,97.82837384265642,0.7909967845659164,all
video_0008,65,0.15049504950495046,0.18461538461538463,0.1440063552422037,95.04441706149628,0.6461538461538462,all
tennis_long_005,1587,0.15078577801069332,0.277882797731569,0.1435509202174612,125.5604396525219,0.7479521109010712,all
dvSave-2021_02_06_15_15_36_redcar,101,0.15351436133712384,0.26732673267326734,0.1468140175462662,107.97986361646832,0.693069306930693,all
dvSave-2021_02_15_13_12_45_redcar,116,0.15662342096278592,0.2672413793103448,0.1497371035805183,72.1194522112205,0.7327586206896551,all
dvSave-2021_02_06_15_12_44_car,126,0.16588087380166588,0.23809523809523808,0.1583617262664008,82.7383957160047,0.7619047619047619,all
dvSave-2021_02_06_17_51_05_personBasketball,745,0.17069572729084986,0.2348993288590604,0.16495583009395084,49.87740283669463,0.6053691275167785,all
dvSave-2021_02_06_17_34_58_personBasketball,240,0.17693894389438944,0.225,0.16981088986036616,90.42949763293245,0.7625,all
dvSave-2021_02_06_09_58_27_DigitAI,942,0.1980618444010006,0.08492569002123142,0.1945469305945541,71.62097113890312,0.31316348195329086,all
