threshold,precision
0,0.0
1,0.02207771440754757
2,0.07031608123234369
3,0.11647566760833644
4,0.1514418207984649
5,0.17731464207664838
6,0.1973029156228346
7,0.21215287031608124
8,0.2242311177442567
9,0.23496615319012845
10,0.24419807046532702
11,0.25342998774052555
12,0.261755769948297
13,0.2689089067746922
14,0.2756782687490006
15,0.2818399872075049
16,0.2877351953520601
17,0.2934598368956879
18,0.2989073077128085
19,0.30415223069132774
20,0.3093331911944992
21,0.3143329246841853
22,0.3187889771334151
23,0.3233729545333404
24,0.32730664676722987
25,0.331346943126699
26,0.33552582484942167
27,0.33923564841959386
28,0.34346783220510635
29,0.34775331805340864
30,0.3519748414263632
31,0.3558232503597889
32,0.35979958424391023
33,0.3643515804061617
34,0.3686370662544641
35,0.3728159479771867
36,0.3773999253771121
37,0.38207984649005916
38,0.3864292948137093
39,0.39076808272480146
40,0.3948296999093865
41,0.3993283940088481
42,0.4034752944938969
43,0.40744096796546025
44,0.4113853206119077
45,0.4149565588188263
46,0.4185277970257449
47,0.4231330952507862
48,0.42872981184371833
49,0.43475294493896915
50,0.43982730131656095
