threshold,precision
0,0.0
1,0.023666115878684505
2,0.08215979958424391
3,0.14826501785619103
4,0.20283566974041894
5,0.24419807046532702
6,0.27542241884760943
7,0.30030382175790205
8,0.32014284952827676
9,0.33612280795266775
10,0.35056766696871167
11,0.3627738393475827
12,0.3728585896274186
13,0.3819519215393636
14,0.3902563829220191
15,0.39811310697724
16,0.40571398113106977
17,0.4132935344597836
18,0.42104365438942487
19,0.42779169553861734
20,0.43449709503757794
21,0.44106390917328503
22,0.4472043068066734
23,0.45340866691540965
24,0.45900538350834175
25,0.4645168168008102
26,0.4703160812323437
27,0.47541175843505146
28,0.480262246148926
29,0.48503811097489474
30,0.4897500133255157
31,0.49418474494962955
32,0.49875806193699695
33,0.5032567560364586
34,0.5079260167368477
35,0.5130430147646714
36,0.5174990672139012
37,0.5216779489366239
38,0.5262725867491072
39,0.5305793934225255
40,0.5352379937103566
41,0.5397047065721443
42,0.5440008528330046
43,0.5482330366185172
44,0.5524438995789137
45,0.5567080646021001
46,0.5614199669527211
47,0.5663557379670593
48,0.5711316027930281
49,0.576504450722243
50,0.5810564468844944
