sequence,frames,auc,pr20,mean_iou,mean_center_error,failure_rate_iou_010,category_tags
video_0021,1109,0.011463364551062862,0.0018034265103697023,0.0016101369634608535,153.05029847549457,0.9981965734896303,all
dvSave-2021_02_14_16_22_06,553,0.011583979374429312,0.0018083182640144665,0.0017136262574752696,123.09231282284526,0.9981916817359855,all
dvSave-2021_02_15_13_01_16_Duck,297,0.013801380138013807,0.010101010101010102,0.00399574058073994,129.05712666078747,0.98989898989899,all
dvSave-2021_02_15_12_44_27_chicken,206,0.014370854561184272,0.0048543689320388345,0.004590642439163092,193.8902334305205,0.9951456310679612,all
tennis_long_006,938,0.014904262281238787,0.008528784648187633,0.005085767331827849,204.9471387754988,0.9914712153518124,all
video_0054,1075,0.016209993092332488,0.045581395348837206,0.007028121552426224,78.43539859396682,0.9906976744186047,all
UAV_long_001,2078,0.018463107138432803,0.02213666987487969,0.009895666205374807,102.25784302042948,0.9817131857555341,all
dvSave-2021_02_15_12_45_02_Duck,463,0.019032140795073028,0.03023758099352052,0.009457958482831867,120.77194207360075,0.9762419006479481,all
video_0039,269,0.019691560234090317,0.04460966542750929,0.01029314405435351,132.8993998418012,0.9702602230483272,all
video_0060,1031,0.020128491995659307,0.012609117361784675,0.010384990746914262,150.2745273040132,0.9873908826382153,all
dvSave-2021_02_04_20_56_55,116,0.020143393649709792,0.008620689655172414,0.010950141816052101,86.35320813541621,0.9913793103448276,all
dvSave-2021_02_06_17_41_45_personBasketball,644,0.02046307115183568,0.013975155279503106,0.010740713417806096,97.28149884896804,0.9860248447204969,all
dvSave-2021_02_15_13_04_57_Duck,519,0.021995841202617373,0.023121387283236993,0.012323588138091054,156.15417690483196,0.9749518304431599,all
dvSave-2021_02_06_08_56_40_windowPattern2,178,0.02308376905106241,0.016853932584269662,0.013696886746933505,70.56860642574645,0.9775280898876404,all
dvSave-2021_02_15_13_10_54_person,228,0.02496960222338023,0.02631578947368421,0.015347467918972272,141.033159445344,0.9736842105263158,all
video_0004,1233,0.025350710253507106,0.029197080291970802,0.016080259187890807,143.8827967420616,0.959448499594485,all
dvSave-2021_02_15_10_14_18_chicken,1032,0.02547202394658071,0.044573643410852716,0.016102011775638626,155.18364527219683,0.9467054263565892,all
dvSave-2021_02_12_13_56_29,722,0.026055237102657634,0.02631578947368421,0.016551751041028472,117.82942226527565,0.9681440443213296,all
dvSave-2021_02_15_13_02_21_Chicken,504,0.02616690240452616,0.04563492063492063,0.016706150303092148,118.40739977231274,0.9503968253968254,all
roadLight_001,375,0.029491749174917488,0.029333333333333333,0.02025699915999992,112.39260793621686,0.9413333333333334,all
00514_person_outdoor6,80,0.03180693069306931,0.0375,0.022416118639137218,134.515358450112,0.9375,all
00471_UAV_outdoor6,48,0.03197194719471946,0.08333333333333333,0.0228607394323619,107.59836512512163,0.9583333333333334,all
tennis_long_001,650,0.0375019040365575,0.05384615384615385,0.0282903271820084,117.74606636459089,0.9230769230769231,all
video_0045,44,0.03757875787578757,0.022727272727272728,0.029281293654095288,77.27709678646154,0.9545454545454546,all
dvSave-2021_02_15_10_12_19_basketball,1117,0.041385606779120176,0.2855863921217547,0.034518401379935865,58.97226663762099,0.9534467323187108,all
dvSave-2021_02_15_10_23_05_boyhead,1153,0.04144161163731291,0.0823937554206418,0.03349356778203634,109.98555487574161,0.8898525585429314,all
dvSave-2021_02_14_16_53_15_flag,1089,0.04422260407858968,0.0009182736455463728,0.03664757703775022,128.13692955431318,0.8494031221303948,all
tennis_long_003,1236,0.04968118171040405,0.11326860841423948,0.04077051558315925,190.17024828690163,0.9085760517799353,all
dvSave-2021_02_06_09_35_08_Pedestrian,811,0.05028628633516866,0.09741060419235512,0.041899525176274696,77.18550391682842,0.8877928483353884,all
video_0032,1932,0.05093987659635528,0.09161490683229814,0.042247029741551125,89.0956954498139,0.8861283643892339,all
dvSave-2021_02_06_09_36_15_Pedestrian,407,0.0513051305130513,0.1375921375921376,0.0425877523604277,77.27917013263648,0.8796068796068796,all
