sequence,frames,auc,pr20,mean_iou,mean_center_error,failure_rate_iou_010,category_tags
dvSave-2021_02_14_16_22_06,553,0.011583979374429312,0.0018083182640144665,0.0017136262574752696,92.1092963482258,0.9981916817359855,all
video_0004,1233,0.012334080123340804,0.0032441200324412004,0.0025881967911835337,159.7388540503793,0.9935117599351176,all
dvSave-2021_02_14_16_56_01_house,365,0.01280347212803473,0.0027397260273972603,0.002972850059496546,177.81042460077936,0.9945205479452055,all
UAV_long_001,2078,0.013403024614299737,0.01588065447545717,0.003616863663568418,141.48137811633288,0.9879692011549567,all
dvSave-2021_02_06_08_56_40_windowPattern2,178,0.014740238068750687,0.0056179775280898875,0.004893429564305876,135.01132235453622,0.9943820224719101,all
roadLight_001,375,0.015392739273927388,0.005333333333333333,0.005876748748901006,79.35311457598242,0.9893333333333333,all
tennis_long_001,650,0.016496572734196496,0.009230769230769232,0.006737756780150842,124.78337527671768,0.9861538461538462,all
dvSave-2021_02_04_20_56_55,116,0.021338340730624784,0.017241379310344827,0.011947883881989875,57.51992406795794,0.9655172413793104,all
dvSave-2021_02_06_09_35_08_Pedestrian,811,0.023818534751132325,0.035758323057953144,0.014503553618741909,89.86931948405197,0.9568434032059187,all
video_0039,269,0.024329198719128413,0.05204460966542751,0.01484263845889876,134.26526718359338,0.9516728624535316,all
dvSave-2021_02_15_23_56_17,540,0.026274294096076272,0.025925925925925925,0.01682055582406634,99.25847745120568,0.9648148148148148,all
dvSave-2021_02_15_12_44_27_chicken,206,0.027251754301643755,0.04854368932038835,0.018027121143459397,62.81692825434167,0.9466019417475728,all
dvSave-2021_02_06_17_57_54_personFootball,974,0.027466607030312888,0.03285420944558522,0.01791794194848517,114.31989234627395,0.9702258726899384,all
00471_UAV_outdoor6,48,0.03238448844884488,0.041666666666666664,0.023012794812067448,90.05867658501569,0.9583333333333334,all
dvSave-2021_02_12_13_56_29,722,0.03274731905323496,0.0332409972299169,0.023549180365776298,128.34187111705774,0.9626038781163435,all
dvSave-2021_02_15_10_14_18_chicken,1032,0.03283060864225958,0.07267441860465117,0.02352520423769251,158.6071776194841,0.937015503875969,all
video_0045,44,0.035103510351035094,0.022727272727272728,0.025649332526393894,75.03032334838167,0.9545454545454546,all
dvSave-2021_02_15_13_01_16_Duck,297,0.037137047038037135,0.07407407407407407,0.027938808065899472,93.66391432833808,0.936026936026936,all
dvSave-2021_02_06_17_21_41_personFootball,572,0.038478847884788475,0.055944055944055944,0.029167605151723862,131.4908704374779,0.9405594405594405,all
dvSave-2021_02_15_10_12_19_basketball,1117,0.04033080120903765,0.20053715308863027,0.032135044257720145,65.53200930360852,0.8764547896150403,all
dvSave-2021_02_06_17_33_01_personBasketball,898,0.05064058744404508,0.06570155902004454,0.04206671259913251,94.61883379281176,0.8897550111358574,all
dvSave-2021_02_15_12_45_02_Duck,463,0.051066013728802685,0.1447084233261339,0.04224674897991722,74.32127770618479,0.8725701943844493,all
00514_person_outdoor6,80,0.06002475247524751,0.15,0.05219799777655019,57.98299635791564,0.825,all
dvSave-2021_02_06_17_41_45_personBasketball,644,0.06126621978968083,0.07142857142857142,0.05233749818929829,87.19417381585616,0.922360248447205,all
dvSave-2021_02_15_10_22_23_boyhead,296,0.06760101685844261,0.11148648648648649,0.060558660214769806,108.42886000352988,0.7702702702702703,all
dvSave-2021_02_06_09_36_15_Pedestrian,407,0.06809059284306809,0.19901719901719903,0.05996893693907868,85.85428060997594,0.8402948402948403,all
dvSave-2021_02_14_16_53_15_flag,1089,0.06820682068206822,0.025711662075298437,0.06083880464591637,111.23979280294814,0.7768595041322314,all
dvSave-2021_02_15_10_22_23_basketball,193,0.06946083209357207,0.24870466321243523,0.06290933312054044,59.11423143983899,0.7823834196891192,all
video_0032,1932,0.07549761187298853,0.17494824016563146,0.06736713246549525,81.19303530876108,0.8266045548654244,all
dvSave-2021_02_15_10_23_05_basketall,1000,0.0780990099009901,0.163,0.07083613533736613,87.43899133452234,0.817,all
dvSave-2021_02_06_10_09_04_bottle,518,0.07834779616957836,0.15057915057915058,0.06994071138122972,88.48410633585159,0.8378378378378378,all;small_rigid_object
dvSave-2021_02_04_21_21_24,200,0.07955445544554456,0.105,0.07133376466397032,93.03463248063703,0.865,all
video_0076,70,0.08175388967468172,0.17142857142857143,0.07523801107991644,51.950737637555164,0.8428571428571429,all
dvSave-2021_02_06_10_14_17_paperClip,860,0.08420446695832376,0.24302325581395348,0.07718542680456614,82.16412367664252,0.7813953488372093,all
tennis_long_005,1587,0.0851285506622496,0.13925645872715817,0.07668510442272901,147.47807075539654,0.8601134215500945,all
dvSave-2021_02_15_13_04_57_Duck,519,0.08784982544497225,0.19460500963391136,0.07986295672428266,108.88284332968219,0.7861271676300579,all
dvSave-2021_02_06_17_27_53_personFootball,656,0.08838444820091765,0.1326219512195122,0.08001064595933377,121.57018983630999,0.8551829268292683,all
dvSave-2021_02_06_10_17_16_paperClips,1471,0.0975897045856863,0.1787899388171312,0.09150250663758581,78.71586075081561,0.760707002039429,all
dvSave-2021_02_15_10_23_05_boyhead,1153,0.10365555202528057,0.19861231569817867,0.09705942756703222,73.93183233726097,0.7077189939288812,all
video_0054,1075,0.10372553534423211,0.1758139534883721,0.09598427261346235,63.48128851798903,0.8576744186046512,all
dvSave-2021_02_06_08_56_18_windowPattern,336,0.10558109382366807,0.19345238095238096,0.0978220028699703,98.55931657912333,0.8035714285714286,all
