sequence,frames,auc,pr20,mean_iou,mean_center_error,failure_rate_iou_010,category_tags
dvSave-2021_02_06_17_27_53_personFootball,656,0.013704419222410042,0.004573170731707317,0.00391564011336297,167.05537264841422,0.9878048780487805,all
dvSave-2021_02_14_16_22_06,553,0.014323312982292809,0.0018083182640144665,0.004909805404859752,114.89767203446914,0.9981916817359855,all
video_0039,269,0.014538628584047987,0.007434944237918215,0.004727340259533901,153.765062015645,0.9925650557620818,all
dvSave-2021_02_15_13_01_16_Duck,297,0.015101510151015109,0.010101010101010102,0.005353176679159353,151.61706546683024,0.98989898989899,all
dvSave-2021_02_15_12_44_27_chicken,206,0.015860809381909063,0.0048543689320388345,0.006177740005263491,121.67360640694424,0.9854368932038835,all
dvSave-2021_02_06_10_09_04_bottle,518,0.018081730953018085,0.011583011583011582,0.008891540734906528,136.21568334710173,0.9806949806949807,all;small_rigid_object
dvSave-2021_02_06_08_56_40_windowPattern2,178,0.021359439314717985,0.02247191011235955,0.012045434565025494,114.34614179518047,0.9550561797752809,all
dvSave-2021_02_04_21_21_24,200,0.022722772277227722,0.02,0.013090834874326768,108.67314216016126,0.975,all
dvSave-2021_02_06_08_56_18_windowPattern,336,0.02566595945308816,0.020833333333333332,0.016828438784835795,105.20863769586119,0.9642857142857143,all
UAV_long_001,2078,0.026806049228599475,0.09769008662175169,0.019342139901339827,94.75793720740565,0.9590952839268527,all
dvSave-2021_02_04_20_56_55,116,0.027057016046432226,0.017241379310344827,0.018716588494713235,62.20856306238526,0.9655172413793104,all
dvSave-2021_02_15_13_02_21_Chicken,504,0.02787600188590287,0.03571428571428571,0.018704089541365848,114.88704976722066,0.9424603174603174,all
dvSave-2021_02_06_17_57_54_personFootball,974,0.028747433264887063,0.03696098562628337,0.019243693030408366,136.04333901595334,0.9630390143737166,all
dvSave-2021_02_15_10_12_19_basketball,1117,0.03292057048139908,0.20143240823634737,0.024852016628879366,70.1074807541312,0.9292748433303492,all
00471_UAV_outdoor6,48,0.03424092409240923,0.14583333333333334,0.025568475063492874,49.27503688558792,0.9583333333333334,all
video_0004,1233,0.03949957039499571,0.042173560421735604,0.03168506494826191,89.95476532682866,0.8978102189781022,all
dvSave-2021_02_15_23_56_17,540,0.04301430143014302,0.03888888888888889,0.03413606496726192,70.09798859772485,0.912962962962963,all
dvSave-2021_02_06_10_14_17_paperClip,860,0.04466958323739351,0.06744186046511629,0.03636302961500109,141.8418007817795,0.8872093023255814,all
dvSave-2021_02_06_09_36_15_Pedestrian,407,0.054881163792054884,0.13513513513513514,0.04657094332673772,67.8570830723684,0.8722358722358723,all
dvSave-2021_02_15_10_14_18_chicken,1032,0.057477550080589454,0.10852713178294573,0.04890329014820517,135.94650760372986,0.8798449612403101,all
00197_driving_outdoor3,104,0.05969154607768468,0.08653846153846154,0.051046610463367705,105.33256854970094,0.8942307692307693,all
dvSave-2021_02_15_12_45_02_Duck,463,0.061180848106408905,0.17278617710583152,0.05299189676936232,99.6139542716659,0.8293736501079914,all
dvSave-2021_02_15_10_22_23_basketball,193,0.06746011388703638,0.23834196891191708,0.06165033639146701,39.21695466742759,0.8497409326424871,all
dvSave-2021_02_15_10_23_05_basketall,1000,0.07155445544554456,0.152,0.06472553789227345,63.62698802271976,0.829,all
video_0076,70,0.07326732673267325,0.18571428571428572,0.06679979639023967,55.536189520050996,0.8142857142857143,all
dvSave-2021_02_15_10_22_23_boyhead,296,0.07890687717420389,0.11486486486486487,0.07265035573822311,70.35046650557373,0.7398648648648649,all
dvSave-2021_02_14_16_56_01_house,365,0.08373796283737962,0.12876712328767123,0.07650066083063453,70.85401051415839,0.7452054794520548,all
00514_person_outdoor6,80,0.08774752475247521,0.1875,0.08038922115075417,80.95376655884294,0.7875,all
dvSave-2021_02_06_09_36_44_Pedestrian,45,0.09196919691969196,0.15555555555555556,0.08352657055037592,142.5290320770574,0.8444444444444444,all
dvSave-2021_02_15_13_04_57_Duck,519,0.09368740342242317,0.1791907514450867,0.08640391143821985,81.94764146322008,0.766859344894027,all
roadLight_001,375,0.09618481848184816,0.13333333333333333,0.08996914551906152,62.82306166095127,0.704,all
video_0064,579,0.09656457873766651,0.12607944732297063,0.08822358279368227,116.58621771235788,0.8721934369602763,all
video_0032,1932,0.09680626447737942,0.234472049689441,0.09030569237056997,62.61807963234116,0.7127329192546584,all
