sequence,frames,auc,pr20,mean_iou,mean_center_error,failure_rate_iou_010,category_tags
video_0039,269,0.013692075527255312,0.04460966542750929,0.004054791186472768,62.69116447133972,0.9962825278810409,all
UAV_long_001,2078,0.014922955240663621,0.01395572666025024,0.0051433032314312805,133.18421029717237,0.9870067372473532,all
dvSave-2021_02_15_13_01_16_Duck,297,0.020435376871020445,0.030303030303030304,0.010844396318770152,101.92617335420566,0.9730639730639731,all
dvSave-2021_02_15_10_12_19_basketball,1117,0.022301603481744765,0.11459265890778872,0.01346145988890601,92.7105654354743,0.9615040286481648,all
video_0021,1109,0.02682820130525226,0.023444544634806132,0.017235192149034916,150.76322983232865,0.9747520288548241,all
video_0004,1233,0.029004360290043604,0.023519870235198703,0.021470953804663892,89.61290243365106,0.9764801297648013,all
video_0054,1075,0.03136081049965462,0.0827906976744186,0.022487841905960634,74.5656815793335,0.9488372093023256,all
dvSave-2021_02_06_17_20_28_personFootball,520,0.034939070830159936,0.06538461538461539,0.025859134525021622,86.88728455384035,0.9192307692307692,all
tennis_long_003,1236,0.03833028933961358,0.07605177993527508,0.029608672052789966,113.84866790578766,0.9555016181229773,all
00514_person_outdoor6,80,0.04183168316831685,0.05,0.03268426579860474,87.69963678166368,0.95,all
dvSave-2021_02_06_17_21_41_personFootball,572,0.043671674859793674,0.05244755244755245,0.03450621764341989,161.77631886054192,0.9405594405594405,all
dvSave-2021_02_15_13_10_54_person,228,0.05028660760812924,0.07456140350877193,0.04151424041528492,154.39888829059987,0.9210526315789473,all
dvSave-2021_02_06_10_09_04_bottle,518,0.051492794067051505,0.07142857142857142,0.04248969370434954,138.4131041957253,0.9247104247104247,all;small_rigid_object
dvSave-2021_02_06_10_14_17_paperClip,860,0.05369560211835137,0.07674418604651163,0.044662952448693366,192.95556997453122,0.9244186046511628,all
dvSave-2021_02_15_23_56_17,540,0.05476714338100475,0.07222222222222222,0.045872160661942274,83.1567471551805,0.9203703703703704,all
video_0032,1932,0.05576225324395792,0.08281573498964803,0.0485141745101152,80.29699103553203,0.90527950310559,all
dvSave-2021_02_15_12_45_02_Duck,463,0.05604858542009707,0.12311015118790497,0.047408628544403746,135.4047415685748,0.8639308855291576,all
dvSave-2021_02_15_10_23_05_basketall,1000,0.0565940594059406,0.12,0.049018392745143115,83.11973336261683,0.868,all
dvSave-2021_02_06_17_27_53_personFootball,656,0.05850036223134508,0.11128048780487805,0.050130525645853234,157.70361672779458,0.8460365853658537,all
dvSave-2021_02_04_20_56_55,116,0.062222601570501884,0.08620689655172414,0.05361129038314712,95.0327755001066,0.8793103448275862,all
dvSave-2021_02_06_17_33_01_personBasketball,898,0.08137996427705131,0.10467706013363029,0.07323116686071537,131.03922060348353,0.878619153674833,all
dvSave-2021_02_15_10_22_23_basketball,193,0.08500487354434927,0.32642487046632124,0.07971871071088764,34.837633102359575,0.6839378238341969,all
video_0076,70,0.08500707213578498,0.1,0.07830289850980357,49.96496551658954,0.7428571428571429,all
dvSave-2021_02_06_09_35_08_Pedestrian,811,0.08619110986314417,0.11713933415536375,0.07779252585747773,92.59945934173545,0.872996300863132,all
video_0058,933,0.09215455307588634,0.1382636655948553,0.08394127625460678,83.29617829204327,0.8595927116827439,all
tennis_long_007,1512,0.09408559903609405,0.164021164021164,0.0860433278083612,108.77124096504603,0.8578042328042328,all
dvSave-2021_02_06_10_03_17_GreenPlant,2139,0.09468197871680575,0.1351098644226274,0.08942719725925422,75.9644852636566,0.6844319775596073,all
tennis_long_006,938,0.09670881800333554,0.35607675906183367,0.09147802416974135,86.54654326657652,0.6865671641791045,all
dvSave-2021_02_14_16_22_06,553,0.09899199684887115,0.12658227848101267,0.09204705724008412,93.40684436228342,0.7432188065099458,all
dvSave-2021_02_06_17_57_54_personFootball,974,0.10525138756175412,0.21457905544147843,0.10089844452133487,44.04976182741336,0.6324435318275154,all
dvSave-2021_02_06_10_17_16_paperClips,1471,0.10607722906893001,0.1495581237253569,0.0979220987261941,108.51920522291067,0.8443235893949694,all
dvSave-2021_02_06_10_05_38_phone,2297,0.10717379966120254,0.053112755768393555,0.10076866166669303,97.28841124010484,0.673487157161515,all
dvSave-2021_02_06_17_51_05_personBasketball,745,0.10926971891820055,0.11677852348993288,0.10209993826286141,64.64925076483058,0.7248322147651006,all
00490_UAV_outdoor6,75,0.11485148514851487,0.10666666666666667,0.10768046685113497,111.4147405475576,0.72,all
dvSave-2021_02_15_10_22_23_boyhead,296,0.11914637409686915,0.22297297297297297,0.11276053457928108,67.08667193277307,0.5304054054054054,all
dvSave-2021_02_04_21_21_24,200,0.1294554455445545,0.195,0.12207668383245456,73.06111230687635,0.785,all
tennis_long_004,453,0.13212248377155594,0.2582781456953642,0.12475968542769234,107.43248759301122,0.7549668874172185,all
dvSave-2021_02_15_10_23_05_boyhead,1153,0.13281753153632797,0.2844752818733738,0.12721414212421311,68.54215154901738,0.585429314830876,all
00511_person_outdoor6,89,0.13672266103014794,0.14606741573033707,0.1296666874431663,111.69331912256423,0.7415730337078652,all
dvSave-2021_02_06_17_45_17_personBasketball,564,0.13787655361280807,0.21453900709219859,0.13134595181424175,53.89928283259983,0.6968085106382979,all
dvSave-2021_02_15_12_44_27_chicken,206,0.13837354609247332,0.3155339805825243,0.1335305137011616,28.17629814331607,0.6699029126213593,all
00451_UAV_outdoor6,89,0.14150628546000668,0.06741573033707865,0.13546488270472076,51.89339537191446,0.6067415730337079,all
dvSave-2021_02_06_09_36_15_Pedestrian,407,0.14430632252414433,0.28992628992628994,0.1376171591745015,46.12965470277158,0.7125307125307125,all
video_0005,632,0.1508177716505828,0.0759493670886076,0.14631813346804506,70.80333946563131,0.5126582278481012,all
dightNUM_001,535,0.15613953918756363,0.18878504672897195,0.1487362574975177,65.97146621611941,0.8093457943925234,all
dvSave-2021_02_15_10_14_18_chicken,1032,0.156554608949267,0.44573643410852715,0.15094412939358656,79.32315585064416,0.563953488372093,all
dvSave-2021_02_06_08_56_40_windowPattern2,178,0.15930581822227166,0.3089887640449438,0.15414347127127745,50.034450941321495,0.5955056179775281,all
dvSave-2021_02_15_10_26_11_chicken,702,0.1923641082056924,0.18803418803418803,0.187710585720042,55.963164890932795,0.5327635327635327,all
dvSave-2021_02_04_20_41_53,1119,0.1938435130376308,0.008936550491510277,0.19068209586303841,71.5857065487316,0.30473637176050045,all
video_0008,65,0.20396039603960398,0.23076923076923078,0.19830844580406984,73.27557514549015,0.5846153846153846,all
dvSave-2021_02_15_13_08_12_blackcar,259,0.2134638174242135,0.3127413127413127,0.20840149859608972,79.72507949756232,0.6023166023166023,all
dvSave-2021_02_06_17_36_49_personBasketball,598,0.21611642769628137,0.40468227424749165,0.2108397041236364,31.1136315316655,0.6003344481605352,all
dvSave-2021_02_06_10_11_59_paperClips,994,0.2174034304838935,0.32494969818913483,0.21302575394947804,58.582318847907096,0.5020120724346077,all
dvSave-2021_02_15_13_27_20_bottle,814,0.23250298002773245,0.2641277641277641,0.22801270796251366,74.19943432155264,0.48034398034398035,all;small_rigid_object
dvSave-2021_02_06_08_56_18_windowPattern,336,0.23865511551155114,0.30357142857142855,0.23278527415520547,73.9953955287748,0.6934523809523809,all
roadLight_001,375,0.2437491749174917,0.42133333333333334,0.2399568111282373,36.085080986456546,0.4533333333333333,all
dvSave-2021_02_06_17_49_51_personBasketball,263,0.24775063057636554,0.33460076045627374,0.2422923409208467,90.56664349949351,0.6349809885931559,all
dvSave-2021_02_12_13_39_56,1531,0.2505771805136098,0.11822338340953625,0.24800861428664242,54.48050470400522,0.13847158719790986,all
dvSave-2021_02_15_13_13_44_whitecar,106,0.2533158976274986,0.4339622641509434,0.24867822742207984,54.32614293761575,0.5660377358490566,all
dvSave-2021_02_06_17_41_45_personBasketball,644,0.25405879097226497,0.40993788819875776,0.24895142925181743,63.822619878294766,0.5667701863354038,all
dvSave-2021_02_04_21_18_52,312,0.2655178979436405,0.42948717948717946,0.26139104563939614,50.82133344548553,0.4358974358974359,all
video_0026,690,0.27351126416989524,0.5652173913043478,0.2693769305061504,57.7333185773534,0.42028985507246375,all
dvSave-2021_02_06_09_58_27_DigitAI,942,0.2740850518172837,0.1040339702760085,0.27155354439688845,57.50260375241004,0.15180467091295116,all
dvSave-2021_02_12_13_43_54,1039,0.2746547994549215,0.23387872954764197,0.2715182103888037,54.19143719409998,0.28392685274302215,all
dvSave-2021_02_06_17_47_49_personBasketball,903,0.2775456947688124,0.4053156146179402,0.27289972772215393,48.799923878524,0.53156146179402,all
dvSave-2021_02_16_17_38_25,696,0.2787640833048823,0.5086206896551724,0.2747070433868751,44.149427864955925,0.4281609195402299,all
tennis_long_001,650,0.2808530083777609,0.45076923076923076,0.2761070016872334,57.88889492123972,0.5261538461538462,all
dvSave-2021_02_04_20_49_43,1666,0.28365801766251053,0.2935174069627851,0.2810576748643874,37.23677204712138,0.27190876350540216,all
dvSave-2021_02_15_13_14_18_blackcar,106,0.28796936297403325,0.41509433962264153,0.28331632756362396,48.31118777406981,0.5566037735849056,all
dvSave-2021_02_04_21_20_22,257,0.2900951573756597,0.35019455252918286,0.28698084449052585,62.316451599421086,0.27626459143968873,all
dvSave-2021_02_06_17_53_39_personFootball,971,0.29271650131027527,0.5303810504634398,0.2886035519271147,31.098557958950344,0.4654994850669413,all
dvSave-2021_02_06_09_36_44_Pedestrian,45,0.2983498349834983,0.37777777777777777,0.29312452592955257,110.9122006398557,0.6222222222222222,all
